TRANSACTION_ID,POLICY_NUMBER,CUSTOMER_ID,CLAIM_AMOUNT,VENDOR_ID,IS_FRAUD,FRAUD_PROBABILITY,RISK_SCORE,RISK_LABEL
TXN0000034,POL000034,CUST00034,1904,VND0041,0,0.0102,1.02,Low
TXN0000035,POL000035,CUST00035,5724,VND0049,0,0.0466,4.66,Low
TXN0000036,POL000036,CUST00036,3278,VND0012,0,0.0776,7.76,Low
TXN0000037,POL000037,CUST00037,32455,VND0045,1,0.9655,96.55,Critical
TXN0000038,POL000038,CUST00038,796,VND0013,0,0.0172,1.72,Low
TXN0000039,POL000039,CUST00039,2404,VND0007,0,0.0135,1.35,Low
TXN0000040,POL000040,CUST00040,5104,VND0014,0,0.0386,3.86,Low
TXN0000041,POL000041,CUST00041,6285,VND0039,0,0.0708,7.08,Low
TXN0000042,POL000042,CUST00042,1707,VND0048,0,0.0058,0.58,Low
TXN0000043,POL000043,CUST00043,6865,VND0031,0,0.04,4.0,Low
TXN0000044,POL000044,CUST00044,1515,VND0013,0,0.0176,1.76,Low
TXN0000045,POL000045,CUST00045,3029,VND0031,0,0.0071,0.71,Low
TXN0000046,POL000046,CUST00046,2341,VND0026,0,0.0728,7.28,Low
TXN0000047,POL000047,CUST00047,3085,VND0026,0,0.0127,1.27,Low
TXN0000048,POL000048,CUST00048,6336,VND0018,0,0.0759,7.59,Low
TXN0000049,POL000049,CUST00049,5181,VND0007,0,0.0318,3.18,Low
TXN0000050,POL000050,CUST00050,21194,VND0019,1,0.9522,95.22,Critical
TXN0000051,POL000051,CUST00051,1927,VND0045,0,0.0066,0.66,Low
TXN0000052,POL000052,CUST00052,13934,VND0021,1,0.9422,94.22,Critical
TXN0000053,POL000053,CUST00053,3161,VND0002,0,0.0234,2.34,Low
TXN0000054,POL000054,CUST00054,4633,VND0018,0,0.0074,0.74,Low
TXN0000055,POL000055,CUST00055,4944,VND0024,0,0.1079,10.79,Low
TXN0000056,POL000056,CUST00056,4707,VND0030,0,0.0068,0.68,Low
TXN0000057,POL000057,CUST00057,4292,VND0033,0,0.0079,0.79,Low
TXN0000058,POL000058,CUST00058,3464,VND0022,0,0.0113,1.13,Low
TXN0000059,POL000059,CUST00059,34903,VND0008,1,0.8733,87.33,Critical
TXN0000060,POL000060,CUST00060,23875,VND0023,1,0.9128,91.28,Critical
TXN0000061,POL000061,CUST00061,2850,VND0001,0,0.0402,4.02,Low
TXN0000062,POL000062,CUST00062,3673,VND0026,0,0.0716,7.16,Low
TXN0000063,POL000063,CUST00063,1424,VND0023,0,0.025,2.5,Low
TXN0000064,POL000064,CUST00064,2614,VND0018,0,0.0154,1.54,Low
TXN0000065,POL000065,CUST00065,5449,VND0034,0,0.0103,1.03,Low
TXN0000066,POL000066,CUST00066,4554,VND0038,0,0.0106,1.06,Low
TXN0000067,POL000067,CUST00067,1635,VND0014,0,0.009,0.9,Low
TXN0000068,POL000068,CUST00068,3913,VND0026,0,0.0153,1.53,Low
TXN0000069,POL000069,CUST00069,14294,VND0026,1,0.9327,93.27,Critical
TXN0000070,POL000070,CUST00070,1043,VND0026,0,0.0234,2.34,Low
TXN0000071,POL000071,CUST00071,621,VND0021,0,0.0,0.0,Low
TXN0000072,POL000072,CUST00072,2870,VND0011,0,0.0161,1.61,Low
TXN0000073,POL000073,CUST00073,4664,VND0009,0,0.02,2.0,Low
TXN0000074,POL000074,CUST00074,2330,VND0002,0,0.0406,4.06,Low
TXN0000075,POL000075,CUST00075,46281,VND0003,1,0.9318,93.18,Critical
TXN0000076,POL000076,CUST00076,5958,VND0041,0,0.1769,17.69,Low
TXN0000077,POL000077,CUST00077,3821,VND0004,0,0.021,2.1,Low
TXN0000078,POL000078,CUST00078,2776,VND0043,0,0.0046,0.46,Low
TXN0000079,POL000079,CUST00079,483,VND0045,0,0.0293,2.93,Low
TXN0000080,POL000080,CUST00080,5786,VND0013,0,0.017,1.7,Low
TXN0000081,POL000081,CUST00081,6287,VND0023,0,0.0126,1.26,Low
TXN0000082,POL000082,CUST00082,3208,VND0019,0,0.0083,0.83,Low
TXN0000083,POL000083,CUST00083,3711,VND0020,0,0.013,1.3,Low
TXN0000084,POL000084,CUST00084,5323,VND0018,0,0.0019,0.19,Low
TXN0000085,POL000085,CUST00085,36265,VND0018,1,0.9442,94.42,Critical
TXN0000086,POL000086,CUST00086,40118,VND0035,1,0.9633,96.33,Critical
TXN0000087,POL000087,CUST00087,4771,VND0021,0,0.028,2.8,Low
TXN0000088,POL000088,CUST00088,6487,VND0010,0,0.0163,1.63,Low
TXN0000089,POL000089,CUST00089,5304,VND0019,0,0.0174,1.74,Low
TXN0000090,POL000090,CUST00090,3467,VND0049,0,0.0094,0.94,Low
TXN0000091,POL000091,CUST00091,3757,VND0050,0,0.0135,1.35,Low
TXN0000092,POL000092,CUST00092,1966,VND0004,0,0.0509,5.09,Low
TXN0000093,POL000093,CUST00093,4693,VND0029,0,0.0036,0.36,Low
TXN0000094,POL000094,CUST00094,1842,VND0049,0,0.013,1.3,Low
TXN0000095,POL000095,CUST00095,2524,VND0010,0,0.0175,1.75,Low
TXN0000096,POL000096,CUST00096,2002,VND0004,0,0.0119,1.19,Low
TXN0000097,POL000097,CUST00097,2480,VND0011,0,0.0019,0.19,Low
TXN0000098,POL000098,CUST00098,46583,VND0016,1,0.9641,96.41,Critical
TXN0000099,POL000099,CUST00099,41147,VND0047,1,0.9596,95.96,Critical
TXN0000100,POL000100,CUST00100,5079,VND0013,0,0.0215,2.15,Low
TXN0000101,POL000101,CUST00101,3198,VND0017,0,0.0538,5.38,Low
TXN0000102,POL000102,CUST00102,6657,VND0013,0,0.0263,2.63,Low
TXN0000103,POL000103,CUST00103,1430,VND0020,0,0.014,1.4,Low
TXN0000104,POL000104,CUST00104,4749,VND0050,0,0.0814,8.14,Low
TXN0000105,POL000105,CUST00105,1418,VND0005,0,0.0152,1.52,Low
TXN0000106,POL000106,CUST00106,3920,VND0023,0,0.006,0.6,Low
TXN0000107,POL000107,CUST00107,3537,VND0031,0,0.0789,7.89,Low
TXN0000108,POL000108,CUST00108,3250,VND0006,0,0.0169,1.69,Low
TXN0000109,POL000109,CUST00109,33509,VND0003,1,0.9668,96.68,Critical
TXN0000110,POL000110,CUST00110,5831,VND0050,0,0.0393,3.93,Low
TXN0000111,POL000111,CUST00111,2353,VND0014,0,0.0529,5.29,Low
TXN0000112,POL000112,CUST00112,5977,VND0013,0,0.0194,1.94,Low
TXN0000113,POL000113,CUST00113,1456,VND0018,0,0.0212,2.12,Low
TXN0000114,POL000114,CUST00114,2192,VND0004,0,0.0125,1.25,Low
TXN0000115,POL000115,CUST00115,2312,VND0008,0,0.0116,1.16,Low
TXN0000116,POL000116,CUST00116,6683,VND0002,0,0.0462,4.62,Low
TXN0000117,POL000117,CUST00117,1006,VND0027,0,0.0212,2.12,Low
TXN0000118,POL000118,CUST00118,2886,VND0024,0,0.0513,5.13,Low
TXN0000119,POL000119,CUST00119,3086,VND0014,0,0.0061,0.61,Low
TXN0000120,POL000120,CUST00120,5640,VND0046,0,0.1433,14.33,Low
TXN0000121,POL000121,CUST00121,3504,VND0016,0,0.0045,0.45,Low
TXN0000122,POL000122,CUST00122,6774,VND0001,0,0.0567,5.67,Low
TXN0000123,POL000123,CUST00123,41699,VND0005,1,0.949,94.9,Critical
TXN0000124,POL000124,CUST00124,4984,VND0037,0,0.056,5.6,Low
TXN0000125,POL000125,CUST00125,13826,VND0027,1,0.8247,82.47,Critical
TXN0000126,POL000126,CUST00126,1298,VND0014,0,0.0,0.0,Low
TXN0000127,POL000127,CUST00127,3253,VND0013,0,0.0531,5.31,Low
TXN0000128,POL000128,CUST00128,45077,VND0011,1,0.9323,93.23,Critical
TXN0000129,POL000129,CUST00129,21420,VND0022,1,0.9611,96.11,Critical
TXN0000130,POL000130,CUST00130,1007,VND0036,0,0.0089,0.89,Low
TXN0000131,POL000131,CUST00131,1123,VND0032,0,0.0164,1.64,Low
TXN0000132,POL000132,CUST00132,5566,VND0038,0,0.0127,1.27,Low
TXN0000133,POL000133,CUST00133,4666,VND0003,0,0.0108,1.08,Low
TXN0000134,POL000134,CUST00134,2112,VND0028,0,0.0208,2.08,Low
TXN0000135,POL000135,CUST00135,5213,VND0039,0,0.0098,0.98,Low
TXN0000136,POL000136,CUST00136,15641,VND0011,1,0.7253,72.53,High
TXN0000137,POL000137,CUST00137,5752,VND0030,0,0.0182,1.82,Low
TXN0000138,POL000138,CUST00138,6388,VND0001,0,0.1149,11.49,Low
TXN0000139,POL000139,CUST00139,6199,VND0046,0,0.0345,3.45,Low
TXN0000140,POL000140,CUST00140,26835,VND0037,1,0.9676,96.76,Critical
TXN0000141,POL000141,CUST00141,5430,VND0032,0,0.0166,1.66,Low
TXN0000142,POL000142,CUST00142,2871,VND0030,0,0.0218,2.18,Low
TXN0000143,POL000143,CUST00143,2941,VND0034,0,0.0112,1.12,Low
TXN0000144,POL000144,CUST00144,4600,VND0022,0,0.0201,2.01,Low
TXN0000145,POL000145,CUST00145,4294,VND0049,0,0.085,8.5,Low
TXN0000146,POL000146,CUST00146,3053,VND0011,0,0.0368,3.68,Low
TXN0000147,POL000147,CUST00147,6996,VND0041,0,0.1001,10.01,Low
TXN0000148,POL000148,CUST00148,1388,VND0039,0,0.0186,1.86,Low
TXN0000149,POL000149,CUST00149,859,VND0042,0,0.007,0.7,Low
TXN0000150,POL000150,CUST00150,44501,VND0004,1,0.9696,96.96,Critical
TXN0000151,POL000151,CUST00151,5736,VND0023,0,0.0407,4.07,Low
TXN0000152,POL000152,CUST00152,2964,VND0033,0,0.0169,1.69,Low
TXN0000153,POL000153,CUST00153,35627,VND0031,1,0.9486,94.86,Critical
TXN0000154,POL000154,CUST00154,4614,VND0035,0,0.0133,1.33,Low
TXN0000155,POL000155,CUST00155,8298,VND0032,1,0.8701,87.01,Critical
TXN0000156,POL000156,CUST00156,4103,VND0012,0,0.0675,6.75,Low
TXN0000157,POL000157,CUST00157,597,VND0042,0,0.0185,1.85,Low
TXN0000158,POL000158,CUST00158,1262,VND0025,0,0.0107,1.07,Low
TXN0000159,POL000159,CUST00159,6537,VND0049,0,0.1377,13.77,Low
TXN0000160,POL000160,CUST00160,3264,VND0027,0,0.104,10.4,Low
TXN0000161,POL000161,CUST00161,18026,VND0027,1,0.9716,97.16,Critical
TXN0000162,POL000162,CUST00162,2712,VND0030,0,0.0155,1.55,Low
TXN0000163,POL000163,CUST00163,2476,VND0044,0,0.0099,0.99,Low
TXN0000164,POL000164,CUST00164,12784,VND0046,1,0.8876,88.76,Critical
TXN0000165,POL000165,CUST00165,2196,VND0030,0,0.0199,1.99,Low
TXN0000166,POL000166,CUST00166,5159,VND0028,0,0.0182,1.82,Low
TXN0000167,POL000167,CUST00167,926,VND0003,0,0.0139,1.39,Low
TXN0000168,POL000168,CUST00168,2305,VND0004,0,0.0057,0.57,Low
TXN0000169,POL000169,CUST00169,3382,VND0037,0,0.0202,2.02,Low
TXN0000170,POL000170,CUST00170,3872,VND0018,0,0.0051,0.51,Low
TXN0000171,POL000171,CUST00171,6187,VND0022,0,0.0669,6.69,Low
TXN0000172,POL000172,CUST00172,6477,VND0032,0,0.0691,6.91,Low
TXN0000173,POL000173,CUST00173,2222,VND0012,0,0.0213,2.13,Low
TXN0000174,POL000174,CUST00174,3867,VND0017,0,0.0078,0.78,Low
TXN0000175,POL000175,CUST00175,352,VND0003,0,0.0,0.0,Low
TXN0000176,POL000176,CUST00176,27051,VND0039,1,0.9696,96.96,Critical
TXN0000177,POL000177,CUST00177,1239,VND0026,0,0.0098,0.98,Low
TXN0000178,POL000178,CUST00178,698,VND0010,0,0.0106,1.06,Low
TXN0000179,POL000179,CUST00179,4767,VND0030,0,0.0245,2.45,Low
TXN0000180,POL000180,CUST00180,1411,VND0008,0,0.0018,0.18,Low
TXN0000181,POL000181,CUST00181,3446,VND0040,0,0.0218,2.18,Low
TXN0000182,POL000182,CUST00182,886,VND0012,0,0.0088,0.88,Low
TXN0000183,POL000183,CUST00183,5270,VND0014,0,0.0931,9.31,Low
TXN0000184,POL000184,CUST00184,5400,VND0044,0,0.019,1.9,Low
TXN0000185,POL000185,CUST00185,4108,VND0038,0,0.0628,6.28,Low
TXN0000186,POL000186,CUST00186,5884,VND0035,0,0.024,2.4,Low
TXN0000187,POL000187,CUST00187,3170,VND0031,0,0.0099,0.99,Low
TXN0000188,POL000188,CUST00188,48512,VND0027,1,0.9702,97.02,Critical
TXN0000189,POL000189,CUST00189,1229,VND0010,0,0.0,0.0,Low
TXN0000190,POL000190,CUST00190,1691,VND0016,0,0.0099,0.99,Low
TXN0000191,POL000191,CUST00191,1562,VND0049,0,0.0332,3.32,Low
TXN0000192,POL000192,CUST00192,2397,VND0046,0,0.0114,1.14,Low
TXN0000193,POL000193,CUST00193,19130,VND0037,1,0.92,92.0,Critical
TXN0000194,POL000194,CUST00194,4219,VND0045,0,0.0949,9.49,Low
TXN0000195,POL000195,CUST00195,1208,VND0041,0,0.019,1.9,Low
TXN0000196,POL000196,CUST00196,4428,VND0020,0,0.0039,0.39,Low
TXN0000197,POL000197,CUST00197,2471,VND0036,0,0.0144,1.44,Low
TXN0000198,POL000198,CUST00198,4869,VND0038,0,0.0761,7.61,Low
TXN0000199,POL000199,CUST00199,3687,VND0007,0,0.0127,1.27,Low
TXN0000200,POL000200,CUST00200,6355,VND0046,0,0.095,9.5,Low
TXN0000201,POL000201,CUST00201,3191,VND0025,0,0.024,2.4,Low
TXN0000202,POL000202,CUST00202,2206,VND0016,0,0.026,2.6,Low
TXN0000203,POL000203,CUST00203,4206,VND0024,0,0.0274,2.74,Low
TXN0000204,POL000204,CUST00204,16207,VND0017,1,0.9594,95.94,Critical
TXN0000205,POL000205,CUST00205,10276,VND0017,1,0.8672,86.72,Critical
TXN0000206,POL000206,CUST00206,4006,VND0028,0,0.0072,0.72,Low
TXN0000207,POL000207,CUST00207,37658,VND0050,1,0.9179,91.79,Critical
TXN0000208,POL000208,CUST00208,2279,VND0021,0,0.016,1.6,Low
TXN0000209,POL000209,CUST00209,20204,VND0011,1,0.9714,97.14,Critical
TXN0000210,POL000210,CUST00210,6370,VND0039,0,0.0284,2.84,Low
TXN0000211,POL000211,CUST00211,4792,VND0015,0,0.0345,3.45,Low
TXN0000212,POL000212,CUST00212,849,VND0027,0,0.0259,2.59,Low
TXN0000213,POL000213,CUST00213,6742,VND0013,0,0.1012,10.12,Low
TXN0000214,POL000214,CUST00214,5041,VND0011,0,0.0184,1.84,Low
TXN0000215,POL000215,CUST00215,541,VND0013,0,0.0084,0.84,Low
TXN0000216,POL000216,CUST00216,5149,VND0018,0,0.0305,3.05,Low
TXN0000217,POL000217,CUST00217,26437,VND0048,1,0.9447,94.47,Critical
TXN0000218,POL000218,CUST00218,15841,VND0034,1,0.9652,96.52,Critical
TXN0000219,POL000219,CUST00219,3527,VND0035,0,0.0092,0.92,Low
TXN0000220,POL000220,CUST00220,3726,VND0003,0,0.0391,3.91,Low
TXN0000221,POL000221,CUST00221,2340,VND0001,0,0.0435,4.35,Low
TXN0000222,POL000222,CUST00222,2387,VND0018,0,0.0111,1.11,Low
TXN0000223,POL000223,CUST00223,4401,VND0045,0,0.0145,1.45,Low
TXN0000224,POL000224,CUST00224,5828,VND0001,0,0.0249,2.49,Low
TXN0000225,POL000225,CUST00225,6256,VND0039,0,0.0087,0.87,Low
TXN0000226,POL000226,CUST00226,5441,VND0042,0,0.104,10.4,Low
TXN0000227,POL000227,CUST00227,33005,VND0014,1,0.9599,95.99,Critical
TXN0000228,POL000228,CUST00228,3602,VND0006,0,0.0061,0.61,Low
TXN0000229,POL000229,CUST00229,2509,VND0008,0,0.0119,1.19,Low
TXN0000230,POL000230,CUST00230,26954,VND0004,1,0.9199,91.99,Critical
TXN0000231,POL000231,CUST00231,27961,VND0043,1,0.9081,90.81,Critical
TXN0000232,POL000232,CUST00232,2021,VND0040,0,0.0086,0.86,Low
TXN0000233,POL000233,CUST00233,6101,VND0034,0,0.0165,1.65,Low
TXN0000234,POL000234,CUST00234,4208,VND0005,0,0.0089,0.89,Low
TXN0000235,POL000235,CUST00235,2608,VND0048,0,0.02,2.0,Low
TXN0000236,POL000236,CUST00236,6083,VND0035,0,0.1037,10.37,Low
TXN0000237,POL000237,CUST00237,6746,VND0042,0,0.0423,4.23,Low
TXN0000238,POL000238,CUST00238,2362,VND0019,0,0.0357,3.57,Low
TXN0000239,POL000239,CUST00239,49899,VND0010,1,0.952,95.2,Critical
TXN0000240,POL000240,CUST00240,19459,VND0042,1,0.9593,95.93,Critical
TXN0000241,POL000241,CUST00241,4971,VND0003,0,0.0289,2.89,Low
TXN0000242,POL000242,CUST00242,6667,VND0010,0,0.0918,9.18,Low
TXN0000243,POL000243,CUST00243,3929,VND0008,0,0.0145,1.45,Low
TXN0000244,POL000244,CUST00244,5627,VND0005,0,0.109,10.9,Low
TXN0000245,POL000245,CUST00245,4250,VND0028,0,0.0223,2.23,Low
TXN0000246,POL000246,CUST00246,6231,VND0012,0,0.0857,8.57,Low
TXN0000247,POL000247,CUST00247,2951,VND0049,0,0.007,0.7,Low
TXN0000248,POL000248,CUST00248,2819,VND0047,0,0.024,2.4,Low
TXN0000249,POL000249,CUST00249,3072,VND0009,0,0.0122,1.22,Low
TXN0000250,POL000250,CUST00250,6976,VND0042,0,0.1126,11.26,Low
TXN0000251,POL000251,CUST00251,4357,VND0002,0,0.0112,1.12,Low
TXN0000252,POL000252,CUST00252,1237,VND0015,0,0.0229,2.29,Low
TXN0000253,POL000253,CUST00253,478,VND0033,0,0.0286,2.86,Low
TXN0000254,POL000254,CUST00254,3727,VND0011,0,0.0047,0.47,Low
TXN0000255,POL000255,CUST00255,5678,VND0004,0,0.0833,8.33,Low
TXN0000256,POL000256,CUST00256,3459,VND0008,0,0.0044,0.44,Low
TXN0000257,POL000257,CUST00257,4009,VND0033,0,0.0143,1.43,Low
TXN0000258,POL000258,CUST00258,36933,VND0012,1,0.9302,93.02,Critical
TXN0000259,POL000259,CUST00259,38788,VND0013,1,0.9702,97.02,Critical
TXN0000260,POL000260,CUST00260,6378,VND0011,0,0.1711,17.11,Low
TXN0000261,POL000261,CUST00261,13228,VND0045,1,0.8877,88.77,Critical
TXN0000262,POL000262,CUST00262,5171,VND0045,0,0.0514,5.14,Low
TXN0000263,POL000263,CUST00263,5513,VND0041,0,0.0279,2.79,Low
TXN0000264,POL000264,CUST00264,45846,VND0001,1,0.9589,95.89,Critical
TXN0000265,POL000265,CUST00265,540,VND0013,0,0.0231,2.31,Low
TXN0000266,POL000266,CUST00266,3106,VND0045,0,0.0512,5.12,Low
TXN0000267,POL000267,CUST00267,1162,VND0028,0,0.0207,2.07,Low
TXN0000268,POL000268,CUST00268,3670,VND0003,0,0.0171,1.71,Low
TXN0000269,POL000269,CUST00269,19515,VND0013,1,0.7754,77.54,High
TXN0000270,POL000270,CUST00270,38297,VND0042,1,0.9848,98.48,Critical
TXN0000271,POL000271,CUST00271,29252,VND0044,1,0.9397,93.97,Critical
TXN0000272,POL000272,CUST00272,338,VND0022,0,0.0024,0.24,Low
TXN0000273,POL000273,CUST00273,31989,VND0008,1,0.9616,96.16,Critical
TXN0000274,POL000274,CUST00274,3620,VND0004,0,0.0061,0.61,Low
TXN0000275,POL000275,CUST00275,735,VND0012,0,0.0067,0.67,Low
TXN0000276,POL000276,CUST00276,6020,VND0040,0,0.0108,1.08,Low
TXN0000277,POL000277,CUST00277,5359,VND0042,0,0.0836,8.36,Low
TXN0000278,POL000278,CUST00278,5023,VND0013,0,0.0048,0.48,Low
TXN0000279,POL000279,CUST00279,1370,VND0049,0,0.011,1.1,Low
TXN0000280,POL000280,CUST00280,5610,VND0044,0,0.0144,1.44,Low
TXN0000281,POL000281,CUST00281,8676,VND0050,1,0.726,72.6,High
TXN0000282,POL000282,CUST00282,2855,VND0038,0,0.0,0.0,Low
TXN0000283,POL000283,CUST00283,202,VND0029,0,0.0439,4.39,Low
TXN0000284,POL000284,CUST00284,3797,VND0050,0,0.0196,1.96,Low
TXN0000285,POL000285,CUST00285,5612,VND0035,0,0.0949,9.49,Low
TXN0000286,POL000286,CUST00286,427,VND0042,0,0.0144,1.44,Low
TXN0000287,POL000287,CUST00287,10960,VND0021,1,0.8309,83.09,Critical
TXN0000288,POL000288,CUST00288,2804,VND0013,0,0.0119,1.19,Low
TXN0000289,POL000289,CUST00289,3678,VND0029,0,0.0137,1.37,Low
TXN0000290,POL000290,CUST00290,42734,VND0021,1,0.9669,96.69,Critical
TXN0000291,POL000291,CUST00291,3098,VND0018,0,0.0323,3.23,Low
TXN0000292,POL000292,CUST00292,34858,VND0035,1,0.9491,94.91,Critical
TXN0000293,POL000293,CUST00293,607,VND0031,0,0.0171,1.71,Low
TXN0000294,POL000294,CUST00294,38873,VND0016,1,0.9576,95.76,Critical
TXN0000295,POL000295,CUST00295,871,VND0013,0,0.0191,1.91,Low
TXN0000296,POL000296,CUST00296,4894,VND0028,0,0.0214,2.14,Low
TXN0000297,POL000297,CUST00297,5544,VND0017,0,0.0024,0.24,Low
TXN0000298,POL000298,CUST00298,3158,VND0012,0,0.0238,2.38,Low
TXN0000299,POL000299,CUST00299,726,VND0012,0,0.0165,1.65,Low
TXN0000300,POL000300,CUST00300,3026,VND0034,0,0.0517,5.17,Low
TXN0000301,POL000301,CUST00301,6902,VND0021,0,0.1197,11.97,Low
TXN0000302,POL000302,CUST00302,8034,VND0018,1,0.816,81.6,Critical
TXN0000303,POL000303,CUST00303,3539,VND0006,0,0.0347,3.47,Low
TXN0000304,POL000304,CUST00304,3857,VND0003,0,0.0904,9.04,Low
TXN0000305,POL000305,CUST00305,2443,VND0035,0,0.029,2.9,Low
TXN0000306,POL000306,CUST00306,3178,VND0049,0,0.0153,1.53,Low
TXN0000307,POL000307,CUST00307,3407,VND0017,0,0.0111,1.11,Low
TXN0000308,POL000308,CUST00308,3423,VND0043,0,0.0064,0.64,Low
TXN0000309,POL000309,CUST00309,5080,VND0031,0,0.0151,1.51,Low
TXN0000310,POL000310,CUST00310,15817,VND0016,1,0.9459,94.59,Critical
TXN0000311,POL000311,CUST00311,563,VND0029,0,0.0146,1.46,Low
TXN0000312,POL000312,CUST00312,243,VND0007,0,0.0133,1.33,Low
TXN0000313,POL000313,CUST00313,2992,VND0017,0,0.0107,1.07,Low
TXN0000314,POL000314,CUST00314,6372,VND0037,0,0.1715,17.15,Low
TXN0000315,POL000315,CUST00315,450,VND0043,0,0.0131,1.31,Low
TXN0000316,POL000316,CUST00316,683,VND0012,0,0.0247,2.47,Low
TXN0000317,POL000317,CUST00317,4818,VND0046,0,0.0229,2.29,Low
TXN0000318,POL000318,CUST00318,3266,VND0031,0,0.0299,2.99,Low
TXN0000319,POL000319,CUST00319,1768,VND0012,0,0.0339,3.39,Low
TXN0000320,POL000320,CUST00320,1610,VND0039,0,0.0373,3.73,Low
TXN0000321,POL000321,CUST00321,4722,VND0045,0,0.0156,1.56,Low
TXN0000322,POL000322,CUST00322,3761,VND0014,0,0.0132,1.32,Low
TXN0000323,POL000323,CUST00323,4539,VND0006,0,0.0123,1.23,Low
TXN0000324,POL000324,CUST00324,2105,VND0015,0,0.0092,0.92,Low
TXN0000325,POL000325,CUST00325,3779,VND0038,0,0.0328,3.28,Low
TXN0000326,POL000326,CUST00326,6048,VND0004,0,0.0306,3.06,Low
TXN0000327,POL000327,CUST00327,2352,VND0015,0,0.0233,2.33,Low
TXN0000328,POL000328,CUST00328,2895,VND0016,0,0.0136,1.36,Low
TXN0000329,POL000329,CUST00329,1313,VND0001,0,0.0348,3.48,Low
TXN0000330,POL000330,CUST00330,4543,VND0030,0,0.0062,0.62,Low
TXN0000331,POL000331,CUST00331,421,VND0041,0,0.0074,0.74,Low
TXN0000332,POL000332,CUST00332,1892,VND0008,0,0.0051,0.51,Low
TXN0000333,POL000333,CUST00333,5048,VND0045,0,0.0163,1.63,Low
TXN0000334,POL000334,CUST00334,331,VND0048,0,0.0096,0.96,Low
TXN0000335,POL000335,CUST00335,10797,VND0044,1,0.8454,84.54,Critical
TXN0000336,POL000336,CUST00336,2948,VND0037,0,0.018,1.8,Low
TXN0000337,POL000337,CUST00337,30711,VND0023,1,0.9467,94.67,Critical
TXN0000338,POL000338,CUST00338,3848,VND0011,0,0.0263,2.63,Low
TXN0000339,POL000339,CUST00339,41695,VND0046,1,0.9603,96.03,Critical
TXN0000340,POL000340,CUST00340,3324,VND0027,0,0.0167,1.67,Low
TXN0000341,POL000341,CUST00341,20486,VND0023,1,0.8565,85.65,Critical
TXN0000342,POL000342,CUST00342,6741,VND0020,0,0.0815,8.15,Low
TXN0000343,POL000343,CUST00343,1562,VND0011,0,0.0072,0.72,Low
TXN0000344,POL000344,CUST00344,5006,VND0020,0,0.0594,5.94,Low
TXN0000345,POL000345,CUST00345,2246,VND0040,0,0.0057,0.57,Low
