AGENT_ID,TOTAL_POLICIES,FRAUD_CASES_HANDLED,AVG_CLAIM_AMOUNT,APPROVAL_RATE,CUSTOMER_COMPLAINTS,YEARS_EXPERIENCE,PERFORMANCE_SCORE,STATE
AGT0077,212,28,17026,0.721,10,6,97.29,NY
AGT0134,411,5,1680,0.608,3,13,76.31,OH
AGT0060,395,5,14163,0.486,12,10,65.99,MI
AGT0035,349,3,19836,0.425,13,4,91.12,CA
AGT0082,204,18,8657,0.853,5,5,53.12,FL
AGT0181,55,0,6926,0.559,10,14,54.69,NY
AGT0163,350,23,18629,0.683,8,7,91.84,FL
AGT0116,46,21,9646,0.896,12,6,66.17,CA
AGT0200,110,21,18518,0.411,13,10,58.83,FL
AGT0154,209,14,6891,0.701,13,22,79.36,TX
AGT0154,390,12,4501,0.926,3,21,62.73,MI
AGT0080,305,28,11573,0.845,8,8,99.36,NY
AGT0100,60,24,8070,0.521,1,19,91.03,NY
AGT0189,130,5,14518,0.51,4,23,94.46,GA
AGT0186,426,7,6672,0.819,5,7,91.68,OH
AGT0145,296,7,15439,0.444,7,1,94.29,FL
AGT0020,332,14,7729,0.73,12,6,66.9,FL
AGT0031,186,19,7752,0.529,0,20,83.67,CA
AGT0092,409,6,14485,0.862,7,3,95.35,FL
AGT0111,298,1,5950,0.609,12,7,84.3,NY
AGT0125,49,11,6426,0.628,3,23,99.86,IL
AGT0055,365,15,11386,0.837,12,5,93.28,FL
AGT0157,151,20,7294,0.448,1,12,53.55,MI
AGT0167,423,3,8300,0.731,7,22,75.08,NC
AGT0042,322,20,7436,0.929,14,21,63.78,IL
AGT0157,105,4,12820,0.758,5,8,93.75,MI
AGT0031,24,8,7366,0.445,9,6,96.86,NY
AGT0099,51,15,12619,0.9,2,15,78.33,GA
AGT0176,130,3,5447,0.471,6,8,52.91,NC
AGT0061,68,17,17994,0.603,1,18,67.33,GA
AGT0138,332,1,19076,0.5,1,17,59.43,NY
AGT0171,91,6,1073,0.797,4,11,76.46,NC
AGT0099,228,16,2985,0.546,14,10,99.24,TX
AGT0171,168,8,2935,0.544,14,3,67.16,NY
AGT0128,332,12,4472,0.627,0,17,86.7,MI
AGT0102,24,8,15948,0.557,1,23,91.55,GA
AGT0024,207,15,5692,0.832,10,22,91.51,NY
AGT0144,417,4,12087,0.69,14,16,57.48,IL
AGT0063,130,4,5781,0.706,7,18,61.87,IL
AGT0058,426,28,2187,0.489,7,22,61.16,IL
AGT0184,94,9,2593,0.902,9,6,64.86,FL
AGT0070,359,20,18908,0.592,6,19,52.34,NC
AGT0072,148,0,11604,0.608,11,3,76.97,CA
AGT0189,184,3,13357,0.533,1,19,87.05,NC
AGT0058,265,23,4572,0.928,0,6,63.04,OH
AGT0148,356,10,10233,0.734,1,15,81.99,IL
AGT0105,268,9,13494,0.434,3,1,77.28,NC
AGT0015,291,5,15812,0.506,8,1,54.96,WA
AGT0117,151,7,13479,0.664,3,16,61.99,IL
AGT0092,334,7,12324,0.503,8,22,62.07,OH
AGT0146,44,23,12864,0.733,0,3,74.43,IL
AGT0080,53,28,8092,0.569,6,20,81.39,IL
AGT0049,88,1,14283,0.592,2,19,65.07,NY
AGT0047,438,4,6636,0.833,4,18,56.36,OH
AGT0106,310,18,14672,0.688,9,7,63.46,CA
AGT0199,180,26,9615,0.462,0,22,52.01,NC
AGT0091,316,9,11963,0.605,11,15,87.43,CA
AGT0028,141,25,10029,0.893,4,5,84.97,WA
AGT0165,368,0,11799,0.865,12,22,83.53,NY
AGT0063,201,22,14528,0.818,10,7,80.89,GA
AGT0085,313,28,6339,0.864,13,12,64.88,CA
AGT0170,131,14,9987,0.45,9,4,55.77,NY
AGT0023,27,17,8658,0.467,6,10,79.95,WA
AGT0027,497,7,1348,0.41,2,16,86.63,OH
AGT0041,330,23,17189,0.469,1,22,90.54,IL
AGT0076,326,24,14008,0.853,11,11,86.33,NY
AGT0172,305,24,1857,0.421,9,15,82.93,GA
AGT0127,449,25,2322,0.656,2,3,91.22,GA
AGT0156,19,2,18603,0.536,1,6,88.09,OH
AGT0068,476,15,17080,0.858,11,14,97.25,WA
AGT0083,234,15,14857,0.842,0,1,50.3,OH
AGT0082,294,1,14457,0.821,7,9,57.33,MI
AGT0023,469,24,16983,0.608,4,2,78.99,IL
AGT0111,402,5,12358,0.909,10,12,70.05,IL
AGT0067,181,12,1109,0.893,0,7,67.03,OH
AGT0191,453,1,9629,0.758,1,7,87.3,NY
AGT0139,50,23,7289,0.737,2,12,76.78,NC
AGT0175,83,5,4270,0.585,11,4,76.32,IL
AGT0040,121,15,17329,0.805,10,19,52.49,FL
AGT0023,141,15,13444,0.916,10,11,73.06,NY
AGT0088,339,2,18137,0.574,8,22,80.4,NY
AGT0114,206,25,3080,0.557,2,6,64.0,WA
AGT0112,426,0,19533,0.545,3,2,61.95,NY
AGT0131,315,19,12486,0.941,2,10,77.53,FL
AGT0167,306,5,11796,0.697,1,3,95.6,GA
AGT0066,386,18,4483,0.932,11,10,55.82,MI
AGT0059,211,6,12861,0.74,6,19,65.46,IL
AGT0053,179,22,12340,0.561,6,23,52.91,IL
AGT0073,62,16,14333,0.723,2,11,66.27,GA
AGT0120,422,19,3872,0.485,9,5,84.74,GA
AGT0161,124,29,13086,0.646,12,10,65.93,TX
AGT0083,330,13,2795,0.644,0,7,69.93,WA
AGT0084,397,22,2349,0.717,13,3,96.77,NY
AGT0182,192,24,9946,0.613,2,20,67.35,OH
AGT0069,90,9,3255,0.65,13,18,76.98,CA
AGT0033,343,9,14485,0.882,11,8,96.68,GA
AGT0069,169,21,10169,0.499,13,12,75.43,TX
AGT0009,427,27,5530,0.907,2,12,58.51,CA
AGT0074,228,0,6177,0.696,8,11,57.15,WA
AGT0180,174,3,10456,0.746,1,19,94.94,TX
AGT0163,366,5,12366,0.457,6,17,94.28,NC
AGT0180,199,19,16178,0.48,2,1,62.55,OH
AGT0061,400,12,11884,0.803,1,6,81.16,FL
AGT0084,348,15,11439,0.895,12,23,58.33,NY
AGT0170,443,9,12526,0.685,11,10,61.57,TX
AGT0151,220,12,12345,0.492,5,12,96.03,GA
AGT0038,52,23,7629,0.838,6,19,70.09,MI
AGT0170,97,12,5183,0.905,7,19,60.43,NY
AGT0021,12,11,10990,0.769,9,14,76.21,WA
AGT0051,428,1,3365,0.501,8,23,92.55,TX
AGT0107,129,11,5593,0.627,4,15,91.65,WA
AGT0131,108,22,3831,0.917,5,22,83.1,NC
AGT0160,306,4,10313,0.505,14,11,90.67,CA
AGT0148,130,10,19483,0.494,1,6,88.98,MI
AGT0057,489,8,17626,0.786,6,3,98.18,CA
AGT0072,435,14,2645,0.699,3,14,82.79,WA
AGT0145,230,24,16603,0.513,3,22,79.9,GA
AGT0190,324,25,3878,0.739,2,10,95.28,FL
AGT0174,199,11,18300,0.915,1,18,68.08,WA
AGT0194,221,17,4908,0.87,13,13,74.64,NY
AGT0136,245,24,3392,0.404,13,20,92.96,TX
AGT0098,197,25,15970,0.882,11,19,98.95,FL
AGT0154,223,18,16830,0.745,13,17,71.06,MI
AGT0016,99,4,8561,0.547,12,9,79.49,WA
AGT0188,329,11,11385,0.451,1,10,91.89,WA
AGT0184,43,8,16027,0.934,12,12,75.94,OH
AGT0101,455,20,17204,0.416,12,20,70.23,TX
AGT0105,455,6,8959,0.502,0,15,53.24,WA
AGT0106,111,1,15908,0.769,13,5,60.6,OH
AGT0028,31,26,16099,0.817,11,7,66.57,MI
AGT0042,244,3,16064,0.547,14,8,70.08,CA
AGT0147,40,23,18013,0.805,7,15,88.81,FL
AGT0007,207,28,16885,0.821,11,19,58.34,FL
AGT0138,378,25,9498,0.841,11,4,53.62,IL
AGT0062,161,14,6983,0.815,9,18,79.39,MI
AGT0028,447,17,19740,0.418,14,15,50.41,IL
AGT0120,17,21,9480,0.891,2,5,96.54,GA
AGT0055,357,6,18725,0.71,5,4,62.8,IL
AGT0090,256,12,19945,0.637,1,4,91.68,WA
AGT0173,128,11,1291,0.413,9,19,68.98,WA
AGT0140,220,8,3678,0.725,0,6,99.94,MI
AGT0194,142,16,11718,0.49,4,5,75.06,TX
AGT0080,313,12,2670,0.701,11,11,98.14,MI
AGT0082,481,0,13485,0.504,13,16,73.44,NC
AGT0138,255,2,1215,0.778,3,11,85.71,NY
AGT0027,353,19,17020,0.449,3,14,53.18,FL
AGT0172,309,16,9135,0.73,0,9,72.25,WA
AGT0071,415,25,13793,0.754,5,11,63.54,NC
AGT0094,285,2,9837,0.617,10,15,89.66,FL
AGT0102,228,9,14076,0.904,13,16,76.62,FL
AGT0014,68,11,13926,0.69,6,18,82.0,OH
AGT0061,390,20,6503,0.813,1,21,62.69,OH
AGT0028,449,13,16204,0.644,4,8,55.84,MI
AGT0123,490,14,16590,0.835,7,3,84.03,GA
AGT0142,367,27,7104,0.894,9,3,72.11,MI
AGT0002,184,0,2202,0.627,8,17,70.85,IL
AGT0002,354,26,9515,0.932,12,11,98.2,WA
AGT0164,167,8,13490,0.484,8,10,55.91,WA
AGT0067,450,1,15784,0.865,6,18,82.19,WA
AGT0169,31,15,4838,0.689,1,17,53.01,NC
AGT0132,450,6,10122,0.476,14,22,84.25,NY
AGT0157,371,21,15545,0.744,0,22,77.98,TX
AGT0077,445,22,10987,0.472,4,18,86.35,OH
AGT0061,127,12,16014,0.888,6,16,87.54,NY
AGT0145,258,23,13806,0.849,13,22,56.6,TX
AGT0127,134,5,4320,0.76,6,4,63.73,NY
AGT0115,358,10,5000,0.528,6,23,62.62,MI
AGT0074,319,1,16077,0.93,14,10,80.4,FL
AGT0123,348,19,14366,0.869,5,6,62.92,CA
AGT0078,372,21,16912,0.793,11,14,75.79,FL
AGT0179,32,22,6590,0.601,0,22,72.11,TX
AGT0142,209,10,2007,0.666,8,4,79.28,TX
AGT0080,133,25,5515,0.586,10,5,67.57,IL
AGT0169,472,19,9170,0.867,3,16,96.25,MI
AGT0015,269,17,3314,0.57,11,17,98.25,NY
AGT0167,89,6,4661,0.531,13,18,67.54,WA
AGT0083,202,25,3746,0.518,0,22,95.71,MI
AGT0047,268,22,3401,0.621,2,19,89.65,TX
AGT0167,169,26,8266,0.743,2,20,61.31,GA
AGT0132,312,10,16267,0.857,14,3,78.14,NC
AGT0015,386,16,8200,0.909,4,9,68.88,NC
AGT0054,312,1,6570,0.444,14,17,90.05,FL
AGT0091,293,17,11422,0.426,5,20,94.7,NC
AGT0126,331,15,13235,0.6,14,9,81.12,OH
AGT0162,150,24,7636,0.846,8,14,81.51,FL
AGT0074,320,21,1069,0.899,4,6,86.06,TX
AGT0162,35,29,6656,0.493,7,21,74.75,NY
AGT0158,397,27,2509,0.557,2,13,73.53,FL
AGT0076,196,5,3751,0.896,2,3,78.16,OH
AGT0188,408,29,12594,0.717,9,14,90.92,IL
AGT0189,134,0,4403,0.624,11,7,82.37,TX
AGT0058,488,13,8035,0.534,6,11,57.2,NC
AGT0112,264,27,8459,0.462,12,9,57.02,CA
AGT0174,470,18,17714,0.46,5,21,70.79,IL
AGT0108,153,29,3918,0.771,5,21,82.95,CA
AGT0149,264,16,2562,0.796,8,4,69.56,MI
AGT0160,359,20,11163,0.601,5,8,69.09,NY
AGT0114,355,16,12851,0.733,10,10,94.77,CA
AGT0072,133,27,10539,0.486,13,21,93.41,FL
AGT0105,207,3,14354,0.412,4,7,73.78,OH
AGT0167,122,11,17411,0.455,7,17,85.91,NC
AGT0064,328,20,12613,0.458,5,2,72.6,TX
AGT0169,213,14,11214,0.942,8,24,80.16,NY
AGT0041,13,28,13933,0.53,9,9,63.73,TX
AGT0093,153,17,5061,0.474,6,7,74.88,FL
AGT0017,190,3,5737,0.837,1,18,82.13,NY
AGT0171,284,18,8035,0.602,13,15,72.09,OH
AGT0143,458,9,15576,0.513,10,13,87.97,TX
AGT0024,491,14,17187,0.521,10,23,63.37,GA
AGT0045,340,2,11538,0.476,11,11,50.64,NC
AGT0106,453,26,12778,0.444,0,13,95.71,WA
AGT0100,18,12,15972,0.774,13,12,68.05,OH
AGT0023,431,24,5602,0.642,1,5,62.6,IL
AGT0178,266,14,3313,0.482,11,8,73.8,GA
AGT0093,192,28,15182,0.836,14,15,62.47,WA
AGT0135,189,10,3413,0.411,7,3,86.66,CA
AGT0151,181,3,3998,0.637,10,18,65.34,TX
AGT0034,406,14,8514,0.47,13,15,99.58,FL
AGT0067,234,1,15926,0.415,8,16,63.81,TX
AGT0147,66,24,8407,0.703,7,20,68.09,OH
AGT0155,451,27,3256,0.485,12,12,76.92,CA
AGT0043,305,6,3440,0.438,11,19,50.17,CA
AGT0064,201,1,5810,0.663,1,18,50.21,GA
AGT0156,358,22,2542,0.864,0,6,61.69,TX
AGT0069,181,20,7233,0.667,10,7,54.08,NY
AGT0016,301,23,2534,0.444,10,11,88.0,CA
AGT0100,13,17,17066,0.567,12,3,93.59,NC
AGT0029,144,17,1995,0.645,1,14,70.66,WA
AGT0119,177,8,4757,0.555,2,22,75.83,GA
AGT0187,398,9,1629,0.586,0,20,80.64,IL
AGT0021,379,18,6539,0.675,4,18,54.74,NY
AGT0057,398,28,16347,0.918,7,5,73.49,CA
AGT0114,244,9,11965,0.843,5,20,97.97,FL
AGT0031,186,10,18764,0.512,1,4,60.39,IL
AGT0107,268,17,12716,0.832,8,10,54.2,CA
AGT0043,140,1,9087,0.617,4,23,64.03,MI
AGT0128,269,19,19211,0.849,4,19,77.4,GA
AGT0073,335,4,4548,0.739,11,4,93.42,TX
AGT0186,484,20,3142,0.773,4,13,67.74,MI
AGT0168,190,26,7239,0.599,8,24,67.24,FL
AGT0199,65,27,18663,0.792,1,11,67.15,GA
AGT0031,179,4,16551,0.711,11,15,92.05,WA
AGT0190,414,17,11203,0.74,8,10,73.47,NY
AGT0004,230,13,18655,0.701,11,12,66.57,MI
AGT0044,214,14,13283,0.431,4,13,58.85,WA
AGT0173,234,20,5535,0.661,7,5,56.28,OH
AGT0173,133,29,1106,0.428,6,23,98.71,GA
AGT0060,416,17,1581,0.493,14,21,74.32,TX
AGT0169,338,16,17136,0.662,1,3,53.61,MI
AGT0016,476,19,6863,0.623,3,5,95.32,FL
AGT0068,58,15,9017,0.426,14,16,97.7,FL
AGT0006,359,10,8321,0.475,1,10,61.86,MI
AGT0104,49,24,2680,0.656,4,17,65.8,FL
AGT0180,53,19,1057,0.932,4,2,98.02,GA
AGT0123,424,16,14813,0.668,11,19,50.79,NY
AGT0105,175,0,13947,0.825,11,1,66.22,NY
AGT0040,164,8,5282,0.644,13,5,71.51,WA
AGT0123,102,7,3365,0.505,1,18,88.52,CA
AGT0065,63,19,10801,0.412,3,9,68.39,NC
AGT0124,334,3,2554,0.607,7,5,66.92,TX
AGT0027,266,11,6511,0.906,10,22,86.47,MI
AGT0105,303,13,14663,0.579,8,15,92.47,NC
AGT0100,85,22,4296,0.603,7,7,54.66,GA
AGT0154,491,4,15644,0.781,12,18,57.12,GA
AGT0182,13,18,17794,0.805,2,4,82.99,CA
AGT0182,229,16,4496,0.735,12,12,65.72,NY
AGT0069,265,22,13646,0.586,9,5,83.42,NC
AGT0129,61,5,15601,0.92,3,16,58.7,OH
AGT0131,293,17,10870,0.594,6,7,90.2,TX
AGT0169,303,12,6652,0.561,4,6,66.07,NC
AGT0162,269,7,19685,0.864,4,7,66.76,FL
AGT0002,189,2,6854,0.914,10,20,58.94,GA
AGT0161,465,11,5702,0.926,4,21,60.57,GA
AGT0097,97,13,3326,0.693,12,5,79.92,FL
AGT0191,374,1,18218,0.878,1,4,79.08,CA
AGT0121,191,24,5303,0.501,2,15,91.22,WA
AGT0078,199,20,3532,0.889,13,16,81.51,NC
AGT0041,126,9,1736,0.817,10,21,71.39,CA
AGT0190,340,1,6526,0.62,6,20,90.17,TX
AGT0033,106,21,13767,0.535,3,20,50.83,OH
AGT0019,192,0,13989,0.818,3,2,85.09,MI
AGT0028,246,12,17176,0.637,2,2,77.16,FL
AGT0111,14,6,13696,0.938,13,5,61.04,OH
AGT0057,406,7,1918,0.87,5,9,81.87,NC
AGT0117,172,22,17010,0.835,14,18,99.33,MI
AGT0165,443,9,5852,0.584,11,21,67.33,OH
AGT0059,327,7,19180,0.791,5,18,81.93,IL
AGT0006,137,9,7577,0.816,11,21,71.97,TX
AGT0072,334,4,1313,0.625,7,9,69.62,OH
AGT0121,229,22,8458,0.452,7,16,65.36,OH
AGT0146,248,14,9552,0.804,11,4,61.45,MI
AGT0014,423,6,16659,0.562,10,3,61.78,OH
AGT0176,324,9,11492,0.473,3,20,88.71,NC
AGT0119,494,29,1814,0.423,6,10,66.19,IL
AGT0097,464,17,1910,0.58,14,18,76.48,IL
AGT0051,426,20,12668,0.68,3,24,60.68,CA
AGT0192,238,25,2594,0.421,10,14,60.62,IL
AGT0032,252,12,11113,0.71,12,3,79.35,FL
AGT0090,442,10,18040,0.892,9,16,79.14,NY
AGT0094,436,29,16931,0.729,0,20,75.26,WA
AGT0110,191,16,13000,0.689,12,7,84.66,GA
AGT0047,356,6,6811,0.528,13,11,81.85,TX
AGT0189,303,25,10789,0.642,9,16,60.01,OH
AGT0076,65,22,2934,0.73,11,18,52.77,IL
AGT0143,70,12,15047,0.876,0,5,63.48,NC
AGT0127,51,8,3480,0.885,10,2,71.56,FL
AGT0041,135,19,1979,0.649,12,16,60.41,GA
AGT0188,468,16,12980,0.501,8,1,74.12,NC
AGT0093,165,7,11879,0.789,7,11,51.84,NC
AGT0124,462,1,11369,0.923,12,8,73.86,OH
AGT0130,225,24,10034,0.927,9,11,67.58,CA
AGT0102,234,25,12253,0.948,0,21,97.96,NC
AGT0128,135,27,9369,0.539,2,23,93.83,WA
AGT0112,334,10,3604,0.86,8,17,97.56,GA
AGT0149,298,21,11827,0.428,9,9,82.94,OH
AGT0095,159,17,1807,0.408,3,15,98.6,OH
AGT0163,394,7,2211,0.771,2,4,59.48,CA
AGT0113,353,27,11763,0.466,9,24,76.62,WA
AGT0200,358,10,14373,0.614,4,21,87.16,NY
AGT0115,228,0,2540,0.407,10,9,74.12,NC
AGT0119,327,4,8150,0.448,9,1,60.69,OH
AGT0099,180,29,18663,0.515,3,21,82.69,GA
AGT0080,499,2,15843,0.705,11,1,98.56,CA
AGT0158,225,15,16263,0.583,2,3,76.16,GA
AGT0127,144,14,13469,0.71,5,1,62.41,OH
AGT0079,233,23,4419,0.757,8,5,52.03,IL
AGT0162,471,24,8361,0.402,13,23,55.21,NC
AGT0022,471,14,12359,0.866,14,12,88.86,GA
AGT0013,184,18,13666,0.432,10,5,74.26,NC
AGT0129,443,24,3508,0.88,9,24,60.43,GA
AGT0092,159,24,19444,0.937,7,10,93.0,NC
AGT0160,105,26,18787,0.897,7,17,71.8,MI
AGT0133,118,21,1694,0.698,8,14,89.79,MI
AGT0157,146,11,12199,0.823,14,3,90.56,WA
AGT0054,153,16,3718,0.495,9,18,85.9,OH
AGT0051,156,21,7037,0.915,12,23,98.63,IL
AGT0051,197,8,17841,0.413,8,24,94.85,CA
AGT0130,15,29,13927,0.703,10,19,56.27,GA
AGT0135,194,13,7695,0.654,12,17,67.19,GA
AGT0200,269,22,1048,0.838,6,18,97.71,FL
AGT0044,206,15,16891,0.81,9,24,82.78,CA
AGT0021,246,28,6469,0.582,7,14,72.19,MI
AGT0192,120,20,12505,0.49,7,22,93.11,TX
AGT0105,71,22,5449,0.837,3,10,81.94,NC
AGT0074,451,23,16007,0.938,12,8,68.53,WA
AGT0062,495,9,7577,0.454,12,3,63.56,WA
AGT0177,209,10,15056,0.803,13,12,92.56,FL
AGT0159,383,24,2620,0.684,4,15,92.34,GA
AGT0035,78,13,12694,0.572,14,10,95.92,WA
AGT0065,99,19,19391,0.408,10,4,89.23,NC
AGT0175,264,15,9995,0.798,5,11,59.24,FL
AGT0147,355,0,9889,0.473,13,15,69.42,CA
AGT0164,353,14,14039,0.868,8,3,66.4,OH
AGT0033,176,5,17271,0.546,8,13,62.89,GA
AGT0116,439,2,16413,0.726,11,10,89.74,TX
AGT0014,320,7,2130,0.556,2,15,56.23,NY
AGT0091,165,8,6624,0.786,6,1,73.96,IL
