POLICY_NUMBER,CUSTOMER_ID,AGENT_ID,INSURANCE_TYPE,POLICY_EFF_DT,PREMIUM_AMOUNT,RISK_SEGMENTATION,CLAIM_STATUS,STATE,IS_FRAUD
POL000067,CUST00067,AGT0157,Health,2019-02-07,4344,Low,Approved,TX,0
POL000068,CUST00068,AGT0105,Auto,2016-02-12,2395,Low,Under Investigation,TX,0
POL000069,CUST00069,AGT0062,Travel,2019-10-14,3821,Low,Approved,NY,1
POL000070,CUST00070,AGT0123,Travel,2016-06-29,951,High,Approved,NY,0
POL000071,CUST00071,AGT0048,Health,2019-07-03,937,Low,Approved,MI,0
POL000072,CUST00072,AGT0040,Travel,2020-08-18,4022,Medium,Under Investigation,MI,0
POL000073,CUST00073,AGT0074,Home,2016-08-13,4252,Low,Approved,IL,0
POL000074,CUST00074,AGT0180,Travel,2015-12-04,4740,Low,Rejected,OH,0
POL000075,CUST00075,AGT0154,Auto,2022-04-03,1960,High,Approved,FL,1
POL000076,CUST00076,AGT0039,Health,2021-08-23,600,Low,Rejected,OH,0
POL000077,CUST00077,AGT0113,Life,2017-05-09,4909,Low,Approved,NC,0
POL000078,CUST00078,AGT0177,Health,2022-12-24,3206,Low,Approved,NC,0
POL000079,CUST00079,AGT0191,Travel,2016-12-27,1612,High,Rejected,WA,0
POL000080,CUST00080,AGT0153,Home,2023-05-03,3937,High,Rejected,OH,0
POL000081,CUST00081,AGT0026,Home,2016-01-08,4567,Low,Approved,NY,0
POL000082,CUST00082,AGT0049,Home,2020-12-09,1781,Medium,Approved,CA,0
POL000083,CUST00083,AGT0044,Life,2015-03-04,3963,Low,Approved,GA,0
POL000084,CUST00084,AGT0031,Auto,2016-10-10,4044,Medium,Under Investigation,MI,0
POL000085,CUST00085,AGT0036,Life,2018-08-22,2757,Low,Rejected,OH,1
POL000086,CUST00086,AGT0064,Life,2015-10-08,3345,Medium,Rejected,WA,1
POL000087,CUST00087,AGT0112,Travel,2019-02-10,1712,High,Rejected,NY,0
POL000088,CUST00088,AGT0080,Travel,2017-02-01,4681,Low,Rejected,CA,0
POL000089,CUST00089,AGT0085,Life,2015-11-22,4923,Low,Approved,GA,0
POL000090,CUST00090,AGT0050,Home,2023-08-27,4914,Low,Approved,TX,0
POL000091,CUST00091,AGT0031,Home,2023-11-01,3817,Low,Rejected,CA,0
POL000092,CUST00092,AGT0200,Health,2023-08-29,690,Low,Approved,NC,0
POL000093,CUST00093,AGT0120,Travel,2016-05-21,2149,Low,Approved,IL,0
POL000094,CUST00094,AGT0046,Health,2018-06-08,2502,High,Rejected,GA,0
POL000095,CUST00095,AGT0162,Home,2017-12-11,4819,Low,Under Investigation,NC,0
POL000096,CUST00096,AGT0167,Auto,2017-12-06,2961,High,Rejected,NY,0
POL000097,CUST00097,AGT0194,Health,2018-09-30,2912,Low,Approved,GA,0
POL000098,CUST00098,AGT0032,Health,2019-08-03,1160,Medium,Under Investigation,OH,1
POL000099,CUST00099,AGT0128,Home,2019-05-14,4071,Low,Approved,OH,1
POL000100,CUST00100,AGT0197,Home,2017-08-16,2013,High,Approved,NC,0
POL000101,CUST00101,AGT0162,Life,2023-10-25,913,Low,Under Investigation,NY,0
POL000102,CUST00102,AGT0046,Home,2023-10-25,4944,Low,Rejected,OH,0
POL000103,CUST00103,AGT0179,Auto,2017-12-24,1355,Medium,Under Investigation,OH,0
POL000104,CUST00104,AGT0085,Home,2016-12-27,573,Medium,Rejected,TX,0
POL000105,CUST00105,AGT0098,Auto,2019-10-17,850,Medium,Rejected,FL,0
POL000106,CUST00106,AGT0112,Travel,2018-04-28,2536,Low,Approved,CA,0
POL000107,CUST00107,AGT0155,Life,2023-11-18,963,Low,Approved,TX,0
POL000108,CUST00108,AGT0025,Health,2018-11-11,4291,Medium,Under Investigation,IL,0
POL000109,CUST00109,AGT0108,Health,2015-05-11,2806,Medium,Under Investigation,WA,1
POL000110,CUST00110,AGT0164,Auto,2016-02-15,1957,Medium,Approved,WA,0
POL000111,CUST00111,AGT0110,Health,2015-09-03,514,Low,Approved,NC,0
POL000112,CUST00112,AGT0055,Auto,2018-06-11,2659,Low,Approved,OH,0
POL000113,CUST00113,AGT0012,Travel,2017-11-06,1180,High,Approved,FL,0
POL000114,CUST00114,AGT0110,Auto,2022-09-16,4901,Medium,Under Investigation,NY,0
POL000115,CUST00115,AGT0141,Life,2023-01-05,1809,Low,Approved,NC,0
POL000116,CUST00116,AGT0110,Home,2016-04-06,2636,High,Approved,WA,0
POL000117,CUST00117,AGT0196,Health,2023-07-01,583,Medium,Under Investigation,WA,0
POL000118,CUST00118,AGT0121,Travel,2020-04-03,1089,Low,Approved,NY,0
POL000119,CUST00119,AGT0102,Auto,2017-10-05,1433,Low,Approved,IL,0
POL000120,CUST00120,AGT0012,Travel,2018-08-29,732,Medium,Approved,OH,0
POL000121,CUST00121,AGT0112,Life,2018-12-21,3766,Low,Approved,CA,0
POL000122,CUST00122,AGT0034,Life,2016-07-14,4754,Medium,Approved,TX,0
POL000123,CUST00123,AGT0145,Travel,2022-10-21,4934,Medium,Approved,CA,1
POL000124,CUST00124,AGT0033,Home,2015-02-10,1696,Low,Approved,NC,0
POL000125,CUST00125,AGT0182,Health,2015-08-18,4049,High,Approved,FL,1
POL000126,CUST00126,AGT0061,Auto,2017-06-17,2768,Low,Approved,NC,0
POL000127,CUST00127,AGT0087,Travel,2016-04-16,706,Low,Approved,NY,0
POL000128,CUST00128,AGT0029,Home,2015-07-23,908,Medium,Under Investigation,NC,1
POL000129,CUST00129,AGT0043,Travel,2018-06-13,2965,Medium,Approved,TX,1
POL000130,CUST00130,AGT0185,Health,2018-05-23,2406,Low,Approved,NY,0
POL000131,CUST00131,AGT0057,Travel,2016-02-17,537,Medium,Under Investigation,FL,0
POL000132,CUST00132,AGT0103,Travel,2022-04-16,4685,High,Approved,IL,0
POL000133,CUST00133,AGT0197,Health,2022-12-10,3786,Medium,Approved,OH,0
POL000134,CUST00134,AGT0125,Home,2021-06-22,2760,Medium,Rejected,TX,0
POL000135,CUST00135,AGT0009,Life,2019-09-12,4941,Low,Approved,GA,0
POL000136,CUST00136,AGT0072,Health,2023-07-11,4870,Low,Approved,WA,1
POL000137,CUST00137,AGT0078,Auto,2018-02-25,4882,Medium,Rejected,CA,0
POL000138,CUST00138,AGT0056,Health,2018-11-04,1664,Low,Rejected,CA,0
POL000139,CUST00139,AGT0049,Home,2015-02-19,4464,Medium,Approved,WA,0
POL000140,CUST00140,AGT0101,Auto,2021-05-14,2770,Low,Approved,GA,1
POL000141,CUST00141,AGT0076,Health,2015-10-31,3767,Low,Approved,WA,0
POL000142,CUST00142,AGT0059,Travel,2020-12-26,4367,Low,Rejected,NC,0
POL000143,CUST00143,AGT0083,Auto,2022-01-15,1234,Low,Approved,NC,0
POL000144,CUST00144,AGT0069,Auto,2016-12-14,2517,Low,Approved,TX,0
POL000145,CUST00145,AGT0046,Home,2020-07-04,1080,Medium,Approved,OH,0
POL000146,CUST00146,AGT0091,Auto,2017-09-24,1757,Medium,Under Investigation,NY,0
POL000147,CUST00147,AGT0189,Auto,2018-08-01,2360,Low,Approved,MI,0
POL000148,CUST00148,AGT0102,Auto,2019-10-08,4349,Low,Approved,CA,0
POL000149,CUST00149,AGT0120,Auto,2017-03-30,4381,Medium,Approved,CA,0
POL000150,CUST00150,AGT0197,Travel,2022-03-02,2254,Low,Rejected,OH,1
POL000151,CUST00151,AGT0123,Auto,2018-07-20,1981,Medium,Approved,WA,0
POL000152,CUST00152,AGT0045,Home,2019-02-26,2888,Medium,Under Investigation,WA,0
POL000153,CUST00153,AGT0080,Life,2022-05-01,4603,Medium,Approved,OH,1
POL000154,CUST00154,AGT0098,Life,2017-01-18,4894,High,Approved,IL,0
POL000155,CUST00155,AGT0095,Life,2019-01-26,1520,Medium,Approved,FL,1
POL000156,CUST00156,AGT0030,Health,2023-12-09,1339,High,Approved,WA,0
POL000157,CUST00157,AGT0022,Travel,2018-08-06,3680,High,Approved,TX,0
POL000158,CUST00158,AGT0070,Auto,2016-01-15,1856,Low,Rejected,TX,0
POL000159,CUST00159,AGT0183,Auto,2017-07-23,1398,Low,Approved,OH,0
POL000160,CUST00160,AGT0144,Travel,2023-08-08,639,Low,Rejected,NY,0
POL000161,CUST00161,AGT0169,Auto,2021-10-30,2314,Low,Approved,IL,1
POL000162,CUST00162,AGT0035,Auto,2022-04-12,2263,Medium,Approved,WA,0
POL000163,CUST00163,AGT0083,Auto,2017-04-13,3033,Low,Approved,FL,0
POL000164,CUST00164,AGT0117,Auto,2022-07-19,1400,Low,Approved,MI,1
POL000165,CUST00165,AGT0087,Auto,2018-07-16,3714,Low,Approved,FL,0
POL000166,CUST00166,AGT0084,Home,2022-02-25,3560,Medium,Under Investigation,NY,0
POL000167,CUST00167,AGT0072,Life,2022-12-04,2580,Medium,Under Investigation,CA,0
POL000168,CUST00168,AGT0011,Auto,2016-11-15,1315,High,Rejected,GA,0
POL000169,CUST00169,AGT0172,Travel,2023-06-11,2781,Low,Under Investigation,MI,0
POL000170,CUST00170,AGT0187,Auto,2020-09-09,3536,Low,Approved,MI,0
POL000171,CUST00171,AGT0017,Life,2021-07-29,2177,High,Approved,TX,0
POL000172,CUST00172,AGT0083,Travel,2021-10-22,1685,Medium,Approved,NC,0
POL000173,CUST00173,AGT0104,Home,2016-07-07,2779,Medium,Under Investigation,TX,0
POL000174,CUST00174,AGT0157,Home,2021-09-16,2098,Medium,Approved,GA,0
POL000175,CUST00175,AGT0198,Auto,2016-11-30,2302,Low,Approved,NC,0
POL000176,CUST00176,AGT0084,Health,2017-06-11,2069,High,Rejected,TX,1
POL000177,CUST00177,AGT0150,Travel,2016-01-18,1865,Medium,Approved,TX,0
POL000178,CUST00178,AGT0188,Health,2016-08-18,3725,Medium,Rejected,CA,0
POL000179,CUST00179,AGT0167,Auto,2023-10-22,2571,Medium,Approved,NC,0
POL000180,CUST00180,AGT0059,Life,2017-12-14,2599,Low,Rejected,GA,0
POL000181,CUST00181,AGT0164,Life,2018-06-25,3438,Low,Under Investigation,TX,0
POL000182,CUST00182,AGT0083,Auto,2019-04-26,2125,Medium,Rejected,OH,0
POL000183,CUST00183,AGT0004,Auto,2021-05-31,954,Medium,Approved,NC,0
POL000184,CUST00184,AGT0152,Auto,2020-02-29,4336,Low,Approved,FL,0
POL000185,CUST00185,AGT0168,Auto,2019-10-28,750,Low,Approved,GA,0
POL000186,CUST00186,AGT0069,Life,2022-07-13,3073,High,Approved,FL,0
POL000187,CUST00187,AGT0091,Auto,2019-06-18,1696,Low,Approved,FL,0
POL000188,CUST00188,AGT0073,Life,2021-12-02,1462,Low,Approved,NY,1
POL000189,CUST00189,AGT0024,Auto,2023-03-13,688,Medium,Approved,NY,0
POL000190,CUST00190,AGT0199,Travel,2021-01-30,4550,Medium,Approved,IL,0
POL000191,CUST00191,AGT0005,Life,2015-04-27,2431,Medium,Under Investigation,FL,0
POL000192,CUST00192,AGT0112,Health,2017-05-15,2041,High,Approved,NY,0
POL000193,CUST00193,AGT0003,Home,2020-07-22,3835,Low,Approved,GA,1
POL000194,CUST00194,AGT0138,Auto,2019-04-23,675,High,Approved,NY,0
POL000195,CUST00195,AGT0181,Auto,2017-07-24,3040,High,Approved,GA,0
POL000196,CUST00196,AGT0129,Home,2018-01-07,2725,Medium,Under Investigation,TX,0
POL000197,CUST00197,AGT0122,Auto,2015-09-15,2990,Medium,Approved,TX,0
POL000198,CUST00198,AGT0166,Life,2017-02-10,1057,Low,Rejected,MI,0
POL000199,CUST00199,AGT0195,Health,2022-01-16,4786,Low,Rejected,IL,0
POL000200,CUST00200,AGT0173,Auto,2015-02-03,1573,Low,Rejected,GA,0
POL000201,CUST00201,AGT0047,Home,2022-07-12,3553,Low,Rejected,NC,0
POL000202,CUST00202,AGT0113,Home,2018-01-20,3861,High,Rejected,TX,0
POL000203,CUST00203,AGT0164,Life,2022-04-08,2047,Low,Approved,WA,0
POL000204,CUST00204,AGT0059,Auto,2017-04-21,1088,Medium,Approved,IL,1
POL000205,CUST00205,AGT0136,Home,2022-06-16,1835,Low,Rejected,MI,1
POL000206,CUST00206,AGT0005,Travel,2020-02-23,4131,Low,Approved,IL,0
POL000207,CUST00207,AGT0176,Health,2022-08-29,4579,Low,Approved,IL,1
POL000208,CUST00208,AGT0123,Travel,2015-07-24,4716,Low,Approved,GA,0
POL000209,CUST00209,AGT0149,Life,2022-03-05,1518,Medium,Approved,TX,1
POL000210,CUST00210,AGT0166,Home,2017-06-07,3229,High,Approved,GA,0
POL000211,CUST00211,AGT0044,Travel,2018-03-25,1179,Low,Approved,WA,0
POL000212,CUST00212,AGT0091,Travel,2015-05-28,3696,High,Approved,GA,0
POL000213,CUST00213,AGT0172,Health,2023-08-02,2371,Medium,Approved,CA,0
POL000214,CUST00214,AGT0033,Travel,2020-10-08,3711,Medium,Approved,GA,0
POL000215,CUST00215,AGT0165,Auto,2023-10-29,3583,Low,Rejected,CA,0
POL000216,CUST00216,AGT0058,Auto,2020-02-11,4967,Low,Approved,TX,0
POL000217,CUST00217,AGT0116,Auto,2016-06-03,2698,High,Rejected,FL,1
POL000218,CUST00218,AGT0102,Health,2018-01-13,2036,Medium,Approved,NY,1
POL000219,CUST00219,AGT0138,Travel,2018-12-16,2870,Low,Approved,CA,0
POL000220,CUST00220,AGT0168,Life,2016-04-29,1232,Medium,Rejected,CA,0
POL000221,CUST00221,AGT0070,Life,2023-05-19,1002,Low,Rejected,NC,0
POL000222,CUST00222,AGT0035,Auto,2023-08-14,2836,Medium,Rejected,IL,0
POL000223,CUST00223,AGT0085,Home,2020-01-26,4214,Low,Rejected,TX,0
POL000224,CUST00224,AGT0123,Health,2020-04-04,2899,High,Rejected,IL,0
POL000225,CUST00225,AGT0151,Home,2021-04-30,4018,Low,Rejected,GA,0
POL000226,CUST00226,AGT0151,Health,2021-02-09,1300,Low,Rejected,NC,0
POL000227,CUST00227,AGT0068,Health,2015-07-25,2522,Medium,Rejected,FL,1
POL000228,CUST00228,AGT0188,Travel,2019-10-13,3258,Low,Approved,TX,0
POL000229,CUST00229,AGT0017,Home,2021-12-28,2064,High,Approved,WA,0
POL000230,CUST00230,AGT0024,Home,2022-04-04,563,Medium,Approved,GA,1
POL000231,CUST00231,AGT0005,Auto,2020-05-12,830,Low,Approved,WA,1
POL000232,CUST00232,AGT0186,Life,2023-01-24,4674,Low,Rejected,NY,0
POL000233,CUST00233,AGT0037,Home,2020-04-10,3223,High,Approved,TX,0
POL000234,CUST00234,AGT0121,Health,2018-06-11,1690,Medium,Approved,NY,0
POL000235,CUST00235,AGT0163,Life,2018-12-25,1664,High,Rejected,NY,0
POL000236,CUST00236,AGT0154,Auto,2021-03-17,678,Low,Approved,NC,0
POL000237,CUST00237,AGT0190,Home,2022-12-22,4751,High,Rejected,NC,0
POL000238,CUST00238,AGT0011,Travel,2017-01-25,987,Medium,Approved,CA,0
POL000239,CUST00239,AGT0082,Home,2017-08-22,3917,Medium,Approved,OH,1
POL000240,CUST00240,AGT0102,Auto,2020-11-11,1581,Low,Approved,NY,1
POL000241,CUST00241,AGT0140,Health,2021-11-14,2010,Low,Approved,GA,0
POL000242,CUST00242,AGT0125,Auto,2018-08-04,1732,High,Approved,NY,0
POL000243,CUST00243,AGT0112,Home,2020-10-14,4210,High,Approved,OH,0
POL000244,CUST00244,AGT0062,Health,2015-01-23,647,Low,Approved,NC,0
POL000245,CUST00245,AGT0022,Auto,2017-08-16,2085,High,Approved,FL,0
POL000246,CUST00246,AGT0087,Life,2023-08-06,1757,Low,Rejected,TX,0
POL000247,CUST00247,AGT0052,Auto,2020-03-09,1728,Low,Approved,NC,0
POL000248,CUST00248,AGT0111,Health,2022-10-24,1368,Low,Approved,WA,0
POL000249,CUST00249,AGT0160,Travel,2016-12-16,4606,Low,Approved,IL,0
POL000250,CUST00250,AGT0111,Auto,2017-08-13,2203,Low,Under Investigation,WA,0
POL000251,CUST00251,AGT0117,Health,2023-10-09,2381,Low,Rejected,TX,0
POL000252,CUST00252,AGT0009,Health,2023-12-23,2233,Low,Under Investigation,MI,0
POL000253,CUST00253,AGT0129,Home,2022-11-21,4910,Medium,Under Investigation,WA,0
POL000254,CUST00254,AGT0088,Health,2017-11-08,2025,Medium,Approved,FL,0
POL000255,CUST00255,AGT0025,Travel,2022-03-18,2037,Medium,Rejected,TX,0
POL000256,CUST00256,AGT0043,Auto,2019-02-16,1975,Low,Approved,GA,0
POL000257,CUST00257,AGT0157,Travel,2022-08-05,1971,Medium,Under Investigation,MI,0
POL000258,CUST00258,AGT0184,Home,2022-08-29,903,Low,Approved,CA,1
POL000259,CUST00259,AGT0102,Auto,2018-11-29,3219,Medium,Approved,GA,1
POL000260,CUST00260,AGT0196,Auto,2017-09-27,613,Medium,Under Investigation,MI,0
POL000261,CUST00261,AGT0037,Auto,2023-10-09,1516,Low,Rejected,CA,1
POL000262,CUST00262,AGT0060,Health,2019-01-20,1409,Low,Under Investigation,OH,0
POL000263,CUST00263,AGT0187,Health,2018-11-19,1811,Medium,Approved,CA,0
POL000264,CUST00264,AGT0036,Life,2020-12-27,3904,High,Approved,TX,1
POL000265,CUST00265,AGT0132,Health,2023-06-05,3197,Medium,Approved,IL,0
POL000266,CUST00266,AGT0044,Life,2016-03-04,4958,High,Approved,NY,0
POL000267,CUST00267,AGT0067,Health,2023-11-09,2080,High,Approved,CA,0
POL000268,CUST00268,AGT0096,Health,2018-10-19,4678,Low,Approved,MI,0
POL000269,CUST00269,AGT0072,Health,2015-03-26,702,Medium,Rejected,FL,1
POL000270,CUST00270,AGT0175,Health,2017-10-13,2768,Low,Approved,MI,1
POL000271,CUST00271,AGT0195,Travel,2019-02-28,4094,Low,Rejected,TX,1
POL000272,CUST00272,AGT0101,Health,2021-02-01,2893,Low,Under Investigation,OH,0
POL000273,CUST00273,AGT0106,Health,2020-02-05,4699,High,Rejected,NC,1
POL000274,CUST00274,AGT0012,Travel,2016-03-22,1915,Medium,Approved,IL,0
POL000275,CUST00275,AGT0047,Life,2019-05-24,649,Low,Approved,IL,0
POL000276,CUST00276,AGT0008,Auto,2017-02-03,3982,Low,Approved,NC,0
POL000277,CUST00277,AGT0172,Travel,2017-06-04,806,Low,Rejected,CA,0
POL000278,CUST00278,AGT0046,Auto,2021-05-26,3941,Medium,Approved,MI,0
POL000279,CUST00279,AGT0069,Auto,2022-03-24,3800,High,Approved,GA,0
POL000280,CUST00280,AGT0169,Home,2016-05-28,4299,Low,Under Investigation,NC,0
POL000281,CUST00281,AGT0143,Life,2020-06-02,2655,Low,Rejected,IL,1
POL000282,CUST00282,AGT0125,Auto,2018-10-18,4529,Medium,Rejected,NY,0
POL000283,CUST00283,AGT0008,Life,2018-01-11,1264,Low,Approved,OH,0
POL000284,CUST00284,AGT0113,Auto,2021-05-31,2454,Medium,Under Investigation,GA,0
POL000285,CUST00285,AGT0113,Life,2017-03-28,1048,Low,Approved,WA,0
POL000286,CUST00286,AGT0064,Auto,2021-11-20,3950,Low,Approved,MI,0
POL000287,CUST00287,AGT0149,Home,2018-08-09,3714,Low,Under Investigation,CA,1
POL000288,CUST00288,AGT0186,Life,2015-11-08,4128,High,Under Investigation,TX,0
POL000289,CUST00289,AGT0052,Health,2022-02-16,3939,Low,Approved,WA,0
POL000290,CUST00290,AGT0067,Life,2022-08-31,1888,Low,Approved,NY,1
POL000291,CUST00291,AGT0065,Life,2020-01-25,806,Medium,Approved,OH,0
POL000292,CUST00292,AGT0167,Life,2021-07-06,4681,High,Rejected,CA,1
POL000293,CUST00293,AGT0016,Health,2016-04-29,2717,Low,Rejected,TX,0
POL000294,CUST00294,AGT0180,Life,2018-01-19,924,Low,Approved,IL,1
POL000295,CUST00295,AGT0156,Life,2018-02-23,4671,Medium,Approved,NC,0
POL000296,CUST00296,AGT0097,Health,2021-11-14,4974,Low,Rejected,NC,0
POL000297,CUST00297,AGT0117,Life,2018-03-02,2504,Medium,Rejected,MI,0
POL000298,CUST00298,AGT0179,Travel,2021-07-21,3965,Low,Approved,TX,0
POL000299,CUST00299,AGT0154,Travel,2017-10-05,663,Low,Approved,FL,0
POL000300,CUST00300,AGT0056,Life,2020-05-28,919,Low,Under Investigation,OH,0
POL000301,CUST00301,AGT0011,Life,2016-11-20,1744,Medium,Approved,OH,0
POL000302,CUST00302,AGT0132,Travel,2020-01-10,3453,Low,Approved,CA,1
POL000303,CUST00303,AGT0030,Health,2015-09-23,1100,Low,Rejected,IL,0
POL000304,CUST00304,AGT0018,Life,2021-08-11,653,Low,Approved,MI,0
POL000305,CUST00305,AGT0197,Auto,2015-04-06,3509,Medium,Under Investigation,TX,0
POL000306,CUST00306,AGT0095,Health,2023-12-28,3965,Low,Rejected,MI,0
POL000307,CUST00307,AGT0131,Travel,2022-07-19,3826,Medium,Approved,IL,0
POL000308,CUST00308,AGT0044,Health,2020-03-16,4096,Medium,Approved,OH,0
POL000309,CUST00309,AGT0021,Travel,2023-03-08,4112,Low,Rejected,GA,0
POL000310,CUST00310,AGT0013,Home,2022-04-11,3210,High,Approved,NC,1
POL000311,CUST00311,AGT0071,Health,2016-04-14,2837,High,Approved,GA,0
POL000312,CUST00312,AGT0001,Auto,2021-09-11,4355,Low,Approved,TX,0
POL000313,CUST00313,AGT0085,Home,2018-05-24,2066,Low,Approved,FL,0
POL000314,CUST00314,AGT0065,Home,2022-09-13,940,Low,Under Investigation,MI,0
POL000315,CUST00315,AGT0106,Home,2022-10-09,3883,Low,Rejected,CA,0
POL000316,CUST00316,AGT0118,Auto,2023-08-03,1741,Medium,Rejected,NC,0
POL000317,CUST00317,AGT0062,Health,2019-01-21,4904,High,Approved,OH,0
POL000318,CUST00318,AGT0092,Auto,2016-09-26,2363,High,Approved,TX,0
POL000319,CUST00319,AGT0016,Health,2016-02-16,4333,Low,Under Investigation,TX,0
