TRANSACTION_ID,POLICY_NUMBER,CUSTOMER_ID,LOSS_DT,REPORT_DT,CLAIM_AMOUNT,PREMIUM_AMOUNT,INCIDENT_SEVERITY,INCIDENT_HOUR_OF_THE_DAY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,VENDOR_ID,IS_FRAUD
TXN0000022,POL000022,CUST00022,2021-06-28,2023-12-15,1993,713,Severe,1,None,0,1,FL,VND0049,0
TXN0000023,POL000023,CUST00023,2024-03-28,2020-10-14,6970,2940,Major,20,Police,0,0,CA,VND0010,0
TXN0000024,POL000024,CUST00024,2022-04-29,2021-07-02,1372,1789,Major,3,None,0,1,CA,VND0017,0
TXN0000025,POL000025,CUST00025,2023-11-13,2022-04-22,1487,2546,Major,19,Police,1,1,MI,VND0047,0
TXN0000026,POL000026,CUST00026,2024-06-03,2023-05-14,6522,1129,Major,23,Fire,0,0,MI,VND0049,0
TXN0000027,POL000027,CUST00027,2020-10-18,2023-01-23,3941,1444,Minor,1,Police,0,1,IL,VND0042,0
TXN0000028,POL000028,CUST00028,2020-06-07,2024-04-16,37323,2484,Moderate,14,Police,0,1,NC,VND0010,1
TXN0000029,POL000029,CUST00029,2023-08-05,2022-12-16,3089,3605,Major,1,None,0,1,MI,VND0011,0
TXN0000030,POL000030,CUST00030,2020-04-10,2023-06-01,4043,2364,Moderate,19,Police,1,1,TX,VND0033,0
TXN0000031,POL000031,CUST00031,2023-02-18,2022-03-09,1921,2937,Major,12,None,0,1,WA,VND0003,0
TXN0000032,POL000032,CUST00032,2019-12-22,2021-04-28,3928,2848,Moderate,0,Ambulance,1,1,IL,VND0050,0
TXN0000033,POL000033,CUST00033,2023-10-12,2024-01-22,4609,1709,Minor,18,Fire,1,0,IL,VND0048,0
TXN0000034,POL000034,CUST00034,2022-10-15,2021-02-11,1904,1758,Minor,18,None,1,1,TX,VND0041,0
TXN0000035,POL000035,CUST00035,2021-11-11,2022-06-13,5724,2415,Major,22,Fire,1,1,GA,VND0049,0
TXN0000036,POL000036,CUST00036,2021-06-20,2020-08-22,3278,644,Minor,11,Fire,0,0,GA,VND0012,0
TXN0000037,POL000037,CUST00037,2022-07-02,2021-09-09,32455,3584,Major,22,Fire,0,1,CA,VND0045,1
TXN0000038,POL000038,CUST00038,2021-02-18,2021-01-21,796,3264,Minor,15,Ambulance,0,1,GA,VND0013,0
TXN0000039,POL000039,CUST00039,2021-03-09,2020-06-16,2404,1877,Moderate,12,None,0,0,TX,VND0007,0
TXN0000040,POL000040,CUST00040,2020-02-14,2023-07-20,5104,2181,Major,8,Ambulance,1,0,FL,VND0014,0
TXN0000041,POL000041,CUST00041,2019-11-13,2023-04-04,6285,1979,Moderate,7,Fire,0,1,GA,VND0039,0
TXN0000042,POL000042,CUST00042,2023-11-24,2022-11-23,1707,3431,Major,14,None,0,0,NC,VND0048,0
TXN0000043,POL000043,CUST00043,2023-02-12,2019-06-30,6865,3918,Minor,17,Ambulance,1,1,TX,VND0031,0
TXN0000044,POL000044,CUST00044,2021-06-08,2020-05-30,1515,989,Moderate,0,None,0,0,IL,VND0013,0
TXN0000045,POL000045,CUST00045,2023-07-28,2020-03-27,3029,2359,Moderate,9,Fire,0,1,FL,VND0031,0
TXN0000046,POL000046,CUST00046,2022-05-04,2022-12-13,2341,561,Major,1,Police,1,1,NC,VND0026,0
TXN0000047,POL000047,CUST00047,2022-04-17,2023-12-12,3085,2535,Minor,9,None,0,0,MI,VND0026,0
TXN0000048,POL000048,CUST00048,2019-08-14,2021-02-14,6336,1617,Moderate,19,Ambulance,0,1,GA,VND0018,0
TXN0000049,POL000049,CUST00049,2021-12-16,2020-11-08,5181,2011,Major,16,Fire,0,0,NC,VND0007,0
TXN0000050,POL000050,CUST00050,2019-08-05,2022-02-08,21194,2554,Severe,2,None,0,0,IL,VND0019,1
TXN0000051,POL000051,CUST00051,2022-10-04,2024-06-20,1927,1956,Major,17,Police,0,1,OH,VND0045,0
TXN0000052,POL000052,CUST00052,2019-05-16,2021-01-27,13934,2273,Major,0,None,0,0,FL,VND0021,1
TXN0000053,POL000053,CUST00053,2021-10-29,2020-07-26,3161,3941,Moderate,0,Ambulance,0,1,WA,VND0002,0
TXN0000054,POL000054,CUST00054,2021-01-07,2021-11-27,4633,4146,Moderate,21,Ambulance,0,1,FL,VND0018,0
TXN0000055,POL000055,CUST00055,2019-09-20,2024-01-28,4944,526,Major,0,Police,0,0,WA,VND0024,0
TXN0000056,POL000056,CUST00056,2021-08-07,2023-01-19,4707,2200,Major,6,Police,0,0,NC,VND0030,0
TXN0000057,POL000057,CUST00057,2020-02-07,2021-11-20,4292,4310,Major,3,Ambulance,0,1,WA,VND0033,0
TXN0000058,POL000058,CUST00058,2020-05-05,2023-01-22,3464,2886,Major,13,Ambulance,0,0,GA,VND0022,0
TXN0000059,POL000059,CUST00059,2023-11-22,2019-02-14,34903,1423,Major,12,Police,0,1,NY,VND0008,1
TXN0000060,POL000060,CUST00060,2020-12-02,2023-03-07,23875,3170,Minor,20,Ambulance,0,0,FL,VND0023,1
TXN0000061,POL000061,CUST00061,2021-03-21,2019-07-30,2850,1152,Minor,23,Ambulance,0,1,TX,VND0001,0
TXN0000062,POL000062,CUST00062,2019-01-13,2021-03-10,3673,598,Severe,17,Fire,1,0,WA,VND0026,0
TXN0000063,POL000063,CUST00063,2020-08-26,2020-12-17,1424,3345,Moderate,11,Ambulance,0,1,TX,VND0023,0
TXN0000064,POL000064,CUST00064,2020-12-05,2022-11-01,2614,2818,Minor,1,None,1,1,MI,VND0018,0
TXN0000065,POL000065,CUST00065,2022-12-14,2020-05-10,5449,3904,Moderate,22,Fire,0,0,GA,VND0034,0
TXN0000066,POL000066,CUST00066,2019-08-28,2020-05-08,4554,2051,Moderate,13,Police,0,1,TX,VND0038,0
TXN0000067,POL000067,CUST00067,2024-02-10,2023-11-25,1635,4344,Major,5,None,0,0,WA,VND0014,0
TXN0000068,POL000068,CUST00068,2019-09-15,2021-08-30,3913,2395,Major,13,None,1,0,TX,VND0026,0
TXN0000069,POL000069,CUST00069,2022-08-03,2023-02-11,14294,3821,Minor,9,Fire,1,0,TX,VND0026,1
TXN0000070,POL000070,CUST00070,2019-01-10,2022-03-30,1043,951,Moderate,8,Fire,0,1,OH,VND0026,0
TXN0000071,POL000071,CUST00071,2023-07-03,2022-06-12,621,937,Minor,10,None,0,1,TX,VND0021,0
TXN0000072,POL000072,CUST00072,2022-10-29,2022-10-24,2870,4022,Major,18,Police,1,0,TX,VND0011,0
TXN0000073,POL000073,CUST00073,2023-08-08,2022-09-16,4664,4252,Minor,3,Fire,1,1,GA,VND0009,0
TXN0000074,POL000074,CUST00074,2024-02-13,2024-01-20,2330,4740,Moderate,23,Ambulance,1,1,WA,VND0002,0
TXN0000075,POL000075,CUST00075,2023-08-01,2023-05-10,46281,1960,Moderate,1,Ambulance,0,0,CA,VND0003,1
TXN0000076,POL000076,CUST00076,2022-06-01,2020-09-17,5958,600,Moderate,3,Ambulance,0,0,GA,VND0041,0
TXN0000077,POL000077,CUST00077,2023-08-10,2019-12-21,3821,4909,Moderate,16,Fire,0,0,GA,VND0004,0
TXN0000078,POL000078,CUST00078,2019-07-13,2023-09-08,2776,3206,Major,3,None,1,0,CA,VND0043,0
TXN0000079,POL000079,CUST00079,2022-07-18,2021-02-01,483,1612,Moderate,18,Ambulance,0,1,TX,VND0045,0
TXN0000080,POL000080,CUST00080,2024-06-09,2020-09-30,5786,3937,Minor,17,Ambulance,0,1,IL,VND0013,0
TXN0000081,POL000081,CUST00081,2021-01-27,2019-08-26,6287,4567,Moderate,10,None,0,0,GA,VND0023,0
TXN0000082,POL000082,CUST00082,2024-05-11,2022-01-27,3208,1781,Moderate,10,Police,0,1,FL,VND0019,0
TXN0000083,POL000083,CUST00083,2021-10-13,2021-11-08,3711,3963,Moderate,23,Ambulance,1,0,IL,VND0020,0
TXN0000084,POL000084,CUST00084,2021-07-28,2023-08-04,5323,4044,Major,19,None,0,1,IL,VND0018,0
TXN0000085,POL000085,CUST00085,2020-08-25,2023-02-26,36265,2757,Moderate,15,Ambulance,1,1,NC,VND0018,1
TXN0000086,POL000086,CUST00086,2019-08-05,2023-01-06,40118,3345,Major,3,Ambulance,0,0,FL,VND0035,1
TXN0000087,POL000087,CUST00087,2023-10-25,2021-12-31,4771,1712,Minor,14,Fire,0,1,GA,VND0021,0
TXN0000088,POL000088,CUST00088,2022-12-17,2023-10-13,6487,4681,Major,0,Fire,0,0,MI,VND0010,0
TXN0000089,POL000089,CUST00089,2021-03-14,2024-06-11,5304,4923,Minor,6,Ambulance,0,1,OH,VND0019,0
TXN0000090,POL000090,CUST00090,2024-04-13,2023-07-09,3467,4914,Moderate,16,None,0,0,NC,VND0049,0
TXN0000091,POL000091,CUST00091,2020-01-04,2020-12-13,3757,3817,Moderate,9,Fire,1,1,TX,VND0050,0
TXN0000092,POL000092,CUST00092,2023-04-12,2020-07-22,1966,690,Moderate,23,Police,0,1,WA,VND0004,0
TXN0000093,POL000093,CUST00093,2021-06-26,2019-01-17,4693,2149,Minor,22,Fire,0,1,NY,VND0029,0
TXN0000094,POL000094,CUST00094,2022-06-06,2024-06-30,1842,2502,Major,2,Police,1,1,TX,VND0049,0
TXN0000095,POL000095,CUST00095,2019-03-16,2023-01-25,2524,4819,Moderate,21,None,0,1,OH,VND0010,0
TXN0000096,POL000096,CUST00096,2022-05-10,2024-03-10,2002,2961,Severe,20,Ambulance,0,0,NY,VND0004,0
TXN0000097,POL000097,CUST00097,2022-09-25,2023-05-15,2480,2912,Major,2,Police,0,1,IL,VND0011,0
TXN0000098,POL000098,CUST00098,2024-05-16,2021-05-27,46583,1160,Moderate,9,Ambulance,0,1,MI,VND0016,1
TXN0000099,POL000099,CUST00099,2020-11-25,2019-11-02,41147,4071,Major,22,Ambulance,0,1,OH,VND0047,1
TXN0000100,POL000100,CUST00100,2019-05-27,2019-04-19,5079,2013,Minor,0,Ambulance,0,1,NY,VND0013,0
TXN0000101,POL000101,CUST00101,2019-05-04,2023-05-24,3198,913,Moderate,1,Ambulance,0,0,MI,VND0017,0
TXN0000102,POL000102,CUST00102,2019-10-28,2020-09-15,6657,4944,Moderate,12,None,0,0,NY,VND0013,0
TXN0000103,POL000103,CUST00103,2020-08-23,2021-02-14,1430,1355,Major,22,None,0,0,WA,VND0020,0
TXN0000104,POL000104,CUST00104,2023-07-26,2023-08-20,4749,573,Minor,6,Fire,0,0,WA,VND0050,0
TXN0000105,POL000105,CUST00105,2020-01-27,2021-09-07,1418,850,Moderate,18,Police,0,1,IL,VND0005,0
TXN0000106,POL000106,CUST00106,2019-10-19,2024-04-07,3920,2536,Major,16,None,0,0,NC,VND0023,0
TXN0000107,POL000107,CUST00107,2019-03-05,2022-01-16,3537,963,Moderate,3,Ambulance,0,1,NC,VND0031,0
TXN0000108,POL000108,CUST00108,2021-02-08,2023-08-11,3250,4291,Minor,6,Police,0,0,MI,VND0006,0
TXN0000109,POL000109,CUST00109,2022-04-26,2019-09-24,33509,2806,Moderate,14,Ambulance,1,1,IL,VND0003,1
TXN0000110,POL000110,CUST00110,2020-07-18,2021-03-21,5831,1957,Major,11,Police,0,0,IL,VND0050,0
TXN0000111,POL000111,CUST00111,2021-09-21,2020-01-17,2353,514,Minor,5,Police,0,0,FL,VND0014,0
TXN0000112,POL000112,CUST00112,2020-05-03,2019-05-08,5977,2659,Moderate,4,Police,0,1,OH,VND0013,0
TXN0000113,POL000113,CUST00113,2023-05-25,2024-06-28,1456,1180,Severe,13,Fire,0,0,GA,VND0018,0
TXN0000114,POL000114,CUST00114,2019-02-21,2021-11-19,2192,4901,Severe,19,Police,0,1,IL,VND0004,0
TXN0000115,POL000115,CUST00115,2020-02-07,2020-12-25,2312,1809,Minor,9,None,0,1,NY,VND0008,0
TXN0000116,POL000116,CUST00116,2022-02-10,2021-02-08,6683,2636,Moderate,22,Fire,0,0,IL,VND0002,0
TXN0000117,POL000117,CUST00117,2023-08-18,2020-05-12,1006,583,Minor,16,Ambulance,0,1,OH,VND0027,0
TXN0000118,POL000118,CUST00118,2021-03-16,2019-09-18,2886,1089,Severe,9,None,0,0,TX,VND0024,0
TXN0000119,POL000119,CUST00119,2019-05-20,2024-01-23,3086,1433,Moderate,16,None,0,0,GA,VND0014,0
TXN0000120,POL000120,CUST00120,2022-01-12,2019-08-15,5640,732,Moderate,10,None,0,1,MI,VND0046,0
TXN0000121,POL000121,CUST00121,2020-06-26,2021-02-25,3504,3766,Minor,18,Police,0,0,NY,VND0016,0
TXN0000122,POL000122,CUST00122,2020-09-03,2019-11-18,6774,4754,Moderate,23,Ambulance,0,0,NY,VND0001,0
TXN0000123,POL000123,CUST00123,2024-01-25,2024-02-24,41699,4934,Minor,18,None,1,1,CA,VND0005,1
TXN0000124,POL000124,CUST00124,2024-03-04,2020-03-03,4984,1696,Major,3,Police,0,1,OH,VND0037,0
TXN0000125,POL000125,CUST00125,2020-06-03,2021-03-16,13826,4049,Moderate,1,None,0,1,IL,VND0027,1
TXN0000126,POL000126,CUST00126,2022-04-01,2023-03-08,1298,2768,Moderate,19,None,1,1,MI,VND0014,0
TXN0000127,POL000127,CUST00127,2021-12-21,2022-03-05,3253,706,Major,20,None,0,1,WA,VND0013,0
TXN0000128,POL000128,CUST00128,2024-04-13,2021-02-19,45077,908,Minor,13,Fire,0,1,NC,VND0011,1
TXN0000129,POL000129,CUST00129,2024-03-14,2022-02-19,21420,2965,Minor,5,Police,0,0,FL,VND0022,1
TXN0000130,POL000130,CUST00130,2020-12-03,2021-06-10,1007,2406,Moderate,21,Ambulance,0,0,TX,VND0036,0
TXN0000131,POL000131,CUST00131,2019-02-21,2020-08-17,1123,537,Major,10,Ambulance,0,1,IL,VND0032,0
TXN0000132,POL000132,CUST00132,2019-01-05,2022-04-30,5566,4685,Minor,7,Ambulance,1,0,GA,VND0038,0
TXN0000133,POL000133,CUST00133,2019-01-10,2021-01-17,4666,3786,Major,8,Fire,1,0,CA,VND0003,0
TXN0000134,POL000134,CUST00134,2023-04-17,2024-04-25,2112,2760,Moderate,7,Police,0,1,IL,VND0028,0
TXN0000135,POL000135,CUST00135,2023-01-24,2021-08-02,5213,4941,Moderate,6,None,0,1,CA,VND0039,0
TXN0000136,POL000136,CUST00136,2023-07-19,2023-03-13,15641,4870,Moderate,7,Ambulance,1,1,FL,VND0011,1
TXN0000137,POL000137,CUST00137,2019-10-08,2020-04-29,5752,4882,Minor,16,None,1,0,NY,VND0030,0
TXN0000138,POL000138,CUST00138,2019-04-28,2022-08-03,6388,1664,Minor,0,None,1,1,CA,VND0001,0
TXN0000139,POL000139,CUST00139,2019-12-09,2022-02-11,6199,4464,Major,8,Fire,0,0,FL,VND0046,0
TXN0000140,POL000140,CUST00140,2022-06-09,2023-02-16,26835,2770,Moderate,4,Fire,0,1,GA,VND0037,1
TXN0000141,POL000141,CUST00141,2019-01-19,2021-07-30,5430,3767,Moderate,15,None,1,0,WA,VND0032,0
TXN0000142,POL000142,CUST00142,2022-08-19,2022-12-29,2871,4367,Severe,23,Ambulance,1,1,NC,VND0030,0
TXN0000143,POL000143,CUST00143,2023-11-20,2019-05-12,2941,1234,Minor,18,Ambulance,0,1,NY,VND0034,0
TXN0000144,POL000144,CUST00144,2019-10-20,2022-11-01,4600,2517,Moderate,5,None,1,0,WA,VND0022,0
TXN0000145,POL000145,CUST00145,2023-01-22,2023-03-07,4294,1080,Moderate,12,Police,0,1,IL,VND0049,0
TXN0000146,POL000146,CUST00146,2022-01-13,2021-10-07,3053,1757,Minor,0,Fire,1,0,NY,VND0011,0
TXN0000147,POL000147,CUST00147,2024-03-09,2019-03-24,6996,2360,Severe,9,Police,0,0,MI,VND0041,0
TXN0000148,POL000148,CUST00148,2020-05-03,2022-02-26,1388,4349,Severe,6,Fire,1,0,NY,VND0039,0
TXN0000149,POL000149,CUST00149,2020-03-31,2023-05-02,859,4381,Moderate,12,Fire,0,1,NC,VND0042,0
TXN0000150,POL000150,CUST00150,2019-02-03,2021-07-29,44501,2254,Severe,9,Fire,0,0,TX,VND0004,1
TXN0000151,POL000151,CUST00151,2022-11-16,2019-07-23,5736,1981,Minor,16,Police,0,1,NY,VND0023,0
TXN0000152,POL000152,CUST00152,2023-10-06,2021-03-18,2964,2888,Severe,13,None,1,1,WA,VND0033,0
TXN0000153,POL000153,CUST00153,2019-02-07,2024-07-03,35627,4603,Major,22,Fire,0,1,FL,VND0031,1
TXN0000154,POL000154,CUST00154,2021-09-13,2020-07-11,4614,4894,Minor,1,Fire,0,0,MI,VND0035,0
TXN0000155,POL000155,CUST00155,2022-12-24,2021-12-13,8298,1520,Moderate,22,None,1,1,IL,VND0032,1
TXN0000156,POL000156,CUST00156,2023-04-18,2020-12-28,4103,1339,Major,18,Fire,1,0,WA,VND0012,0
TXN0000157,POL000157,CUST00157,2024-02-11,2022-12-15,597,3680,Moderate,17,None,0,0,IL,VND0042,0
TXN0000158,POL000158,CUST00158,2022-12-21,2021-05-24,1262,1856,Moderate,19,Police,1,1,IL,VND0025,0
TXN0000159,POL000159,CUST00159,2024-01-22,2021-02-24,6537,1398,Moderate,1,None,0,1,NY,VND0049,0
TXN0000160,POL000160,CUST00160,2024-06-17,2022-03-23,3264,639,Minor,5,None,0,0,FL,VND0027,0
TXN0000161,POL000161,CUST00161,2024-02-05,2022-03-08,18026,2314,Minor,0,None,0,0,MI,VND0027,1
TXN0000162,POL000162,CUST00162,2021-05-28,2021-10-14,2712,2263,Minor,19,None,1,0,OH,VND0030,0
TXN0000163,POL000163,CUST00163,2021-03-27,2020-06-16,2476,3033,Major,8,Ambulance,0,0,OH,VND0044,0
TXN0000164,POL000164,CUST00164,2021-05-08,2019-08-19,12784,1400,Moderate,8,Ambulance,0,0,NY,VND0046,1
TXN0000165,POL000165,CUST00165,2024-03-23,2022-11-01,2196,3714,Moderate,14,None,0,0,NC,VND0030,0
TXN0000166,POL000166,CUST00166,2020-07-19,2020-11-27,5159,3560,Minor,10,None,0,0,NY,VND0028,0
TXN0000167,POL000167,CUST00167,2023-02-18,2022-05-29,926,2580,Minor,15,Ambulance,1,0,FL,VND0003,0
TXN0000168,POL000168,CUST00168,2022-06-08,2021-02-08,2305,1315,Major,22,Ambulance,0,1,CA,VND0004,0
TXN0000169,POL000169,CUST00169,2019-05-04,2023-09-25,3382,2781,Minor,7,Police,1,1,MI,VND0037,0
TXN0000170,POL000170,CUST00170,2021-09-02,2022-12-04,3872,3536,Major,21,None,0,1,CA,VND0018,0
TXN0000171,POL000171,CUST00171,2020-01-26,2021-04-05,6187,2177,Moderate,12,None,1,0,MI,VND0022,0
TXN0000172,POL000172,CUST00172,2023-01-02,2020-11-13,6477,1685,Major,9,Police,1,1,NY,VND0032,0
TXN0000173,POL000173,CUST00173,2021-06-16,2023-02-27,2222,2779,Moderate,22,Fire,0,0,CA,VND0012,0
TXN0000174,POL000174,CUST00174,2020-12-16,2019-01-30,3867,2098,Major,11,Police,0,1,WA,VND0017,0
TXN0000175,POL000175,CUST00175,2019-05-12,2019-05-10,352,2302,Minor,3,Fire,1,0,NC,VND0003,0
TXN0000176,POL000176,CUST00176,2019-09-20,2019-07-03,27051,2069,Major,6,None,0,1,NC,VND0039,1
TXN0000177,POL000177,CUST00177,2023-03-14,2020-12-09,1239,1865,Minor,20,Fire,0,0,OH,VND0026,0
TXN0000178,POL000178,CUST00178,2023-09-27,2021-10-08,698,3725,Minor,12,Fire,0,1,NC,VND0010,0
TXN0000179,POL000179,CUST00179,2020-08-07,2020-08-25,4767,2571,Moderate,13,None,1,0,TX,VND0030,0
TXN0000180,POL000180,CUST00180,2023-07-20,2020-01-28,1411,2599,Minor,16,Fire,0,1,FL,VND0008,0
TXN0000181,POL000181,CUST00181,2022-01-12,2020-10-04,3446,3438,Moderate,4,None,0,1,OH,VND0040,0
TXN0000182,POL000182,CUST00182,2020-12-05,2021-10-04,886,2125,Major,2,None,0,0,NC,VND0012,0
TXN0000183,POL000183,CUST00183,2021-06-25,2020-09-03,5270,954,Major,10,Fire,0,1,OH,VND0014,0
TXN0000184,POL000184,CUST00184,2022-10-17,2022-03-13,5400,4336,Moderate,22,Ambulance,0,0,IL,VND0044,0
TXN0000185,POL000185,CUST00185,2023-12-30,2021-02-20,4108,750,Severe,3,Fire,1,1,GA,VND0038,0
TXN0000186,POL000186,CUST00186,2021-09-15,2024-03-03,5884,3073,Moderate,17,Fire,0,0,CA,VND0035,0
TXN0000187,POL000187,CUST00187,2020-11-26,2024-06-29,3170,1696,Minor,23,None,1,1,OH,VND0031,0
TXN0000188,POL000188,CUST00188,2023-03-08,2022-08-23,48512,1462,Major,2,Fire,1,1,NY,VND0027,1
TXN0000189,POL000189,CUST00189,2021-11-19,2022-02-02,1229,688,Minor,3,Police,0,1,IL,VND0010,0
TXN0000190,POL000190,CUST00190,2021-02-21,2019-03-18,1691,4550,Minor,20,Fire,0,1,TX,VND0016,0
TXN0000191,POL000191,CUST00191,2021-07-11,2022-06-18,1562,2431,Minor,2,Ambulance,1,1,WA,VND0049,0
TXN0000192,POL000192,CUST00192,2021-12-11,2021-02-17,2397,2041,Moderate,17,Police,0,1,MI,VND0046,0
TXN0000193,POL000193,CUST00193,2019-10-09,2020-08-19,19130,3835,Moderate,19,Ambulance,0,0,WA,VND0037,1
TXN0000194,POL000194,CUST00194,2019-04-27,2023-05-27,4219,675,Moderate,7,Police,1,1,MI,VND0045,0
TXN0000195,POL000195,CUST00195,2022-08-27,2019-04-09,1208,3040,Moderate,6,Police,1,0,GA,VND0041,0
TXN0000196,POL000196,CUST00196,2019-12-18,2020-06-21,4428,2725,Major,12,Ambulance,0,1,FL,VND0020,0
TXN0000197,POL000197,CUST00197,2021-12-02,2023-04-18,2471,2990,Severe,12,Police,0,0,TX,VND0036,0
TXN0000198,POL000198,CUST00198,2023-04-19,2024-02-15,4869,1057,Minor,20,None,0,1,GA,VND0038,0
TXN0000199,POL000199,CUST00199,2020-03-07,2021-11-13,3687,4786,Minor,14,Police,1,1,WA,VND0007,0
TXN0000200,POL000200,CUST00200,2021-02-04,2021-12-12,6355,1573,Moderate,23,Fire,0,1,NY,VND0046,0
TXN0000201,POL000201,CUST00201,2024-05-17,2024-05-09,3191,3553,Minor,5,Police,1,0,WA,VND0025,0
TXN0000202,POL000202,CUST00202,2019-03-12,2019-07-19,2206,3861,Moderate,6,Fire,0,0,TX,VND0016,0
TXN0000203,POL000203,CUST00203,2023-02-25,2021-09-06,4206,2047,Moderate,5,None,0,1,FL,VND0024,0
TXN0000204,POL000204,CUST00204,2019-12-03,2020-05-14,16207,1088,Major,15,Ambulance,0,1,GA,VND0017,1
TXN0000205,POL000205,CUST00205,2023-12-23,2021-08-29,10276,1835,Minor,0,Ambulance,0,1,IL,VND0017,1
TXN0000206,POL000206,CUST00206,2021-04-06,2024-01-08,4006,4131,Major,20,Police,1,1,NC,VND0028,0
TXN0000207,POL000207,CUST00207,2019-01-14,2022-04-25,37658,4579,Moderate,18,Fire,0,0,NY,VND0050,1
TXN0000208,POL000208,CUST00208,2022-12-11,2024-06-27,2279,4716,Major,23,Fire,1,1,NC,VND0021,0
TXN0000209,POL000209,CUST00209,2019-10-23,2021-10-25,20204,1518,Moderate,23,Ambulance,0,1,NY,VND0011,1
TXN0000210,POL000210,CUST00210,2020-12-30,2023-10-13,6370,3229,Major,1,Police,1,0,TX,VND0039,0
TXN0000211,POL000211,CUST00211,2021-10-05,2019-12-21,4792,1179,Major,17,None,1,1,OH,VND0015,0
TXN0000212,POL000212,CUST00212,2023-02-04,2020-10-19,849,3696,Minor,12,Ambulance,0,0,OH,VND0027,0
TXN0000213,POL000213,CUST00213,2021-04-20,2020-07-17,6742,2371,Moderate,17,Fire,1,0,OH,VND0013,0
TXN0000214,POL000214,CUST00214,2023-09-19,2023-04-07,5041,3711,Major,20,Police,0,0,CA,VND0011,0
TXN0000215,POL000215,CUST00215,2021-08-24,2021-11-10,541,3583,Minor,13,Ambulance,0,1,IL,VND0013,0
TXN0000216,POL000216,CUST00216,2020-11-15,2020-04-05,5149,4967,Moderate,0,Fire,1,1,CA,VND0018,0
TXN0000217,POL000217,CUST00217,2020-11-07,2019-12-28,26437,2698,Moderate,20,Ambulance,1,0,MI,VND0048,1
TXN0000218,POL000218,CUST00218,2023-05-26,2021-02-25,15841,2036,Major,10,Ambulance,0,1,CA,VND0034,1
TXN0000219,POL000219,CUST00219,2022-08-27,2019-11-19,3527,2870,Minor,11,Ambulance,1,1,WA,VND0035,0
TXN0000220,POL000220,CUST00220,2019-09-12,2022-11-14,3726,1232,Moderate,14,None,0,0,CA,VND0003,0
TXN0000221,POL000221,CUST00221,2023-02-15,2023-09-14,2340,1002,Minor,21,Ambulance,0,0,GA,VND0001,0
